Device Name,D2 - 2401090
Device Model,Kestrel DROP 2
Serial Number,2401090
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,%,°F,°F
2025-06-18 03:00:00 PM,93.1,48.6,102.6,70.9,point
2025-06-18 03:20:00 PM,92.6,48.7,101.7,70.5,point
2025-06-18 03:40:00 PM,92.6,49.6,102.2,71.0,point
2025-06-18 04:00:00 PM,92.4,50.4,102.2,71.2,point
2025-06-18 04:20:00 PM,91.5,49.6,99.7,69.9,point
2025-06-18 04:40:00 PM,91.9,50.4,100.9,70.8,point
2025-06-18 05:00:00 PM,92.8,50.7,103.1,71.8,point
2025-06-18 05:20:00 PM,92.6,49.5,102.0,70.9,point
2025-06-18 05:40:00 PM,91.7,52.5,101.8,71.8,point
2025-06-18 06:00:00 PM,91.6,52.7,101.8,71.9,point
2025-06-18 06:20:00 PM,90.2,53.3,99.0,71.0,point
2025-06-18 06:40:00 PM,89.2,55.7,97.5,71.3,point
2025-06-18 07:00:00 PM,89.7,56.6,99.1,72.2,point
2025-06-18 07:20:00 PM,88.3,57.3,95.9,71.3,point
2025-06-18 07:40:00 PM,88.1,57.3,95.7,71.1,point
2025-06-18 08:00:00 PM,87.1,58.5,94.3,70.8,point
2025-06-18 08:20:00 PM,86.5,60.5,93.6,71.2,point
2025-06-18 08:40:00 PM,85.6,62.7,92.5,71.4,point
2025-06-18 09:00:00 PM,85.1,64.6,92.5,71.9,point
2025-06-18 09:20:00 PM,84.8,64.9,91.8,71.7,point
2025-06-18 09:40:00 PM,84.6,65.2,91.4,71.6,point
2025-06-18 10:00:00 PM,84.3,65.7,90.9,71.5,point
2025-06-18 10:20:00 PM,83.8,66.6,90.0,71.5,point
2025-06-18 10:40:00 PM,83.0,69.0,89.1,71.7,point
2025-06-18 11:00:00 PM,82.9,69.1,88.7,71.7,point
2025-06-18 11:20:00 PM,82.4,70.1,88.0,71.7,point
2025-06-18 11:40:00 PM,81.8,71.2,86.9,71.5,point
2025-06-19 12:00:00 AM,81.6,72.6,86.9,71.9,point
2025-06-19 12:20:00 AM,81.5,72.3,86.9,71.8,point
2025-06-19 12:40:00 AM,81.3,73.2,86.4,71.9,point
2025-06-19 01:00:00 AM,81.2,73.1,86.4,71.7,point
2025-06-19 01:20:00 AM,81.2,73.0,86.4,71.7,point
2025-06-19 01:40:00 AM,80.8,73.3,85.8,71.5,point
2025-06-19 02:00:00 AM,80.4,74.3,84.9,71.4,point
2025-06-19 02:20:00 AM,79.8,75.7,84.4,71.4,point
2025-06-19 02:40:00 AM,79.2,77.1,83.7,71.4,point
2025-06-19 03:00:00 AM,78.7,78.0,82.8,71.2,point
2025-06-19 03:20:00 AM,78.5,77.8,82.4,71.0,point
2025-06-19 03:40:00 AM,78.1,78.0,81.7,70.7,point
2025-06-19 04:00:00 AM,78.0,77.9,81.3,70.6,point
2025-06-19 04:20:00 AM,78.0,78.2,81.3,70.6,point
2025-06-19 04:40:00 AM,77.7,78.6,80.8,70.5,point
2025-06-19 05:00:00 AM,77.6,78.5,80.6,70.4,point
2025-06-19 05:20:00 AM,77.4,79.5,80.6,70.5,point
2025-06-19 05:40:00 AM,77.2,80.4,79.9,70.7,point
2025-06-19 06:00:00 AM,77.0,81.1,79.7,70.7,point
2025-06-19 06:20:00 AM,77.1,81.2,80.1,70.8,point
2025-06-19 06:40:00 AM,77.3,80.8,80.4,71.0,point
2025-06-19 07:00:00 AM,77.6,80.8,81.1,71.2,point
2025-06-19 07:20:00 AM,78.2,79.7,82.0,71.4,point
2025-06-19 07:40:00 AM,78.9,78.0,83.1,71.5,point
2025-06-19 08:00:00 AM,79.3,77.4,83.7,71.6,point
2025-06-19 08:20:00 AM,79.9,77.0,84.9,72.0,point
2025-06-19 08:40:00 AM,81.0,74.5,86.4,72.2,point
2025-06-19 09:00:00 AM,81.9,72.9,87.6,72.4,point
2025-06-19 09:20:00 AM,82.9,71.6,89.2,72.7,point
2025-06-19 09:40:00 AM,84.2,68.7,91.8,72.8,point
2025-06-19 10:00:00 AM,84.3,68.5,91.8,72.8,point
2025-06-19 10:20:00 AM,85.5,66.0,93.7,72.8,point
2025-06-19 10:40:00 AM,87.1,60.6,95.0,71.8,point
2025-06-19 11:00:00 AM,89.8,54.1,98.1,71.0,point
2025-06-19 11:20:00 AM,91.0,53.9,100.9,71.9,point
2025-06-19 11:40:00 AM,91.6,48.9,99.7,69.7,point
2025-06-19 12:00:00 PM,92.2,50.3,101.7,71.0,point
2025-06-19 12:20:00 PM,92.4,47.7,100.6,69.7,point
2025-06-19 12:40:00 PM,93.7,47.2,102.7,70.5,point
2025-06-19 01:00:00 PM,93.4,45.2,100.9,69.0,point
2025-06-19 01:20:00 PM,94.0,44.4,102.0,69.0,point
2025-06-19 01:40:00 PM,94.4,45.7,103.5,70.2,point
2025-06-19 02:00:00 PM,93.4,45.4,101.1,69.1,point
2025-06-19 02:20:00 PM,94.3,47.0,104.4,71.0,point
2025-06-19 02:40:00 PM,94.6,47.3,105.1,71.4,point
2025-06-19 03:00:00 PM,93.7,46.6,102.6,70.2,point
2025-06-19 03:20:00 PM,92.7,48.2,101.5,70.2,point
2025-06-19 03:40:00 PM,93.0,47.4,101.5,70.0,point
2025-06-19 04:00:00 PM,92.4,46.3,99.9,68.8,point
2025-06-19 04:20:00 PM,92.5,46.7,100.0,69.1,point
2025-06-19 04:40:00 PM,91.9,48.0,99.7,69.4,point
2025-06-19 05:00:00 PM,92.3,47.7,100.2,69.5,point
2025-06-19 05:20:00 PM,92.3,47.1,99.9,69.2,point
2025-06-19 05:40:00 PM,92.0,47.6,99.9,69.2,point
2025-06-19 06:00:00 PM,90.7,49.1,98.1,69.0,point
2025-06-19 06:20:00 PM,91.1,48.7,98.6,69.1,point
2025-06-19 06:40:00 PM,90.1,50.0,97.0,68.9,point
2025-06-19 07:00:00 PM,89.8,50.9,96.8,69.2,point
2025-06-19 07:20:00 PM,88.6,52.8,94.8,69.2,point
2025-06-19 07:40:00 PM,86.6,53.7,91.4,67.8,point
2025-06-19 08:00:00 PM,82.0,62.4,84.9,67.8,point
2025-06-19 08:20:00 PM,79.4,68.1,82.2,68.0,point
2025-06-19 08:40:00 PM,76.7,79.2,79.0,69.8,point
2025-06-19 09:00:00 PM,71.5,93.6,73.4,69.5,point
2025-06-19 09:20:00 PM,72.1,97.8,74.8,71.5,point
2025-06-19 09:40:00 PM,72.8,98.8,75.7,72.4,point
2025-06-19 10:00:00 PM,73.1,99.4,76.3,72.9,point
2025-06-19 10:20:00 PM,73.1,99.7,76.3,73.0,point
2025-06-19 10:40:00 PM,73.0,100.0,76.1,73.0,point
2025-06-19 11:00:00 PM,72.6,99.9,75.6,72.5,point
2025-06-19 11:20:00 PM,72.2,100.0,75.0,72.2,point
2025-06-19 11:40:00 PM,72.1,100.0,75.0,72.1,point
2025-06-20 12:00:00 AM,72.0,100.0,74.7,72.0,point
2025-06-20 12:20:00 AM,71.9,100.0,74.5,71.9,point
2025-06-20 12:40:00 AM,71.9,100.0,74.5,71.9,point
2025-06-20 01:00:00 AM,71.9,100.0,74.5,71.9,point
2025-06-20 01:20:00 AM,72.3,100.0,75.0,72.3,point
2025-06-20 01:40:00 AM,72.4,100.0,75.2,72.4,point
2025-06-20 02:00:00 AM,72.3,100.0,75.0,72.3,point
2025-06-20 02:20:00 AM,72.1,100.0,74.7,72.1,point
2025-06-20 02:40:00 AM,71.7,100.0,74.1,71.7,point
2025-06-20 03:00:00 AM,71.4,100.0,73.6,71.4,point
2025-06-20 03:20:00 AM,71.1,100.0,73.4,71.1,point
2025-06-20 03:40:00 AM,71.0,100.0,73.0,70.9,point
2025-06-20 04:00:00 AM,70.6,100.0,72.5,70.6,point
2025-06-20 04:20:00 AM,70.6,100.0,72.5,70.6,point
2025-06-20 04:40:00 AM,70.4,100.0,72.3,70.4,point
2025-06-20 05:00:00 AM,70.2,100.0,72.1,70.2,point
2025-06-20 05:20:00 AM,70.0,100.0,72.0,70.0,point
2025-06-20 05:40:00 AM,69.6,100.0,71.6,69.6,point
2025-06-20 06:00:00 AM,69.4,100.0,71.2,69.4,point
2025-06-20 06:20:00 AM,68.9,100.0,70.5,68.9,point
2025-06-20 06:40:00 AM,68.6,100.0,70.3,68.6,point
2025-06-20 07:00:00 AM,68.5,100.0,70.2,68.5,point
2025-06-20 07:20:00 AM,68.6,100.0,70.3,68.6,point
2025-06-20 07:40:00 AM,68.4,98.7,70.2,68.0,point
2025-06-20 08:00:00 AM,68.9,98.3,70.7,68.4,point
2025-06-20 08:20:00 AM,69.3,95.2,70.9,67.9,point
2025-06-20 08:40:00 AM,70.0,92.0,71.6,67.6,point
2025-06-20 09:00:00 AM,71.2,90.6,72.9,68.3,point
2025-06-20 09:20:00 AM,72.3,87.0,74.1,68.2,point
2025-06-20 09:40:00 AM,73.5,80.2,75.0,67.0,point
2025-06-20 10:00:00 AM,76.0,73.7,77.4,67.0,point
2025-06-20 10:20:00 AM,78.5,68.3,80.6,67.2,point
2025-06-20 10:40:00 AM,80.2,58.9,81.5,64.5,point
2025-06-20 11:00:00 AM,82.6,52.2,83.8,63.4,point
2025-06-20 11:20:00 AM,84.9,47.0,86.2,62.4,point
2025-06-20 11:40:00 AM,85.9,48.7,88.5,64.3,point
2025-06-20 12:00:00 PM,86.5,43.5,87.8,61.7,point
2025-06-20 12:20:00 PM,87.0,44.9,88.9,63.0,point
2025-06-20 12:40:00 PM,86.0,41.7,86.7,60.0,point
2025-06-20 01:00:00 PM,88.1,41.1,89.6,61.5,point
2025-06-20 01:20:00 PM,87.7,40.7,88.9,60.9,point
2025-06-20 01:40:00 PM,88.0,38.2,88.7,59.4,point
2025-06-20 02:00:00 PM,88.2,39.6,89.2,60.6,point
2025-06-20 02:20:00 PM,89.6,37.9,90.9,60.5,point
2025-06-20 02:40:00 PM,89.3,37.1,90.3,59.7,point
2025-06-20 03:00:00 PM,88.0,39.5,89.1,60.3,point
2025-06-20 03:20:00 PM,87.1,39.6,87.6,59.6,point
2025-06-20 03:40:00 PM,87.5,41.0,88.7,60.9,point
2025-06-20 04:00:00 PM,87.9,39.8,88.7,60.4,point
2025-06-20 04:20:00 PM,87.3,40.0,88.2,60.0,point
2025-06-20 04:40:00 PM,86.5,38.7,86.4,58.3,point
2025-06-20 05:00:00 PM,87.5,39.2,88.0,59.6,point
2025-06-20 05:20:00 PM,88.2,40.2,89.4,61.0,point
2025-06-20 05:40:00 PM,87.4,40.3,88.2,60.3,point
2025-06-20 06:00:00 PM,86.9,41.1,87.6,60.4,point
2025-06-20 06:20:00 PM,86.8,42.7,88.0,61.4,point
2025-06-20 06:40:00 PM,85.7,41.9,86.2,60.0,point
2025-06-20 07:00:00 PM,85.0,44.8,85.8,61.2,point
2025-06-20 07:20:00 PM,84.7,49.2,86.5,63.5,point
2025-06-20 07:40:00 PM,83.5,50.7,85.1,63.3,point
2025-06-20 08:00:00 PM,81.1,55.8,82.2,63.8,point
2025-06-20 08:20:00 PM,79.0,59.6,80.1,63.7,point
2025-06-20 08:40:00 PM,77.4,64.3,78.3,64.4,point
2025-06-20 09:00:00 PM,76.1,66.5,76.6,64.2,point
2025-06-20 09:20:00 PM,75.3,68.2,75.9,64.1,point
2025-06-20 09:40:00 PM,74.6,70.6,75.4,64.4,point
2025-06-20 10:00:00 PM,73.9,72.4,74.8,64.4,point
2025-06-20 10:20:00 PM,73.1,74.9,74.1,64.7,point
2025-06-20 10:40:00 PM,72.4,75.3,73.6,64.1,point
2025-06-20 11:00:00 PM,72.0,77.7,73.2,64.6,point
2025-06-20 11:20:00 PM,71.4,78.9,72.5,64.5,point
2025-06-20 11:40:00 PM,71.2,80.2,72.3,64.7,point
2025-06-21 12:00:00 AM,70.4,80.7,71.4,64.2,point
2025-06-21 12:20:00 AM,70.3,82.6,71.4,64.8,point
2025-06-21 12:40:00 AM,69.6,83.2,70.5,64.3,point
2025-06-21 01:00:00 AM,69.5,84.4,70.5,64.6,point
2025-06-21 01:20:00 AM,68.9,86.3,69.8,64.6,point
2025-06-21 01:40:00 AM,68.9,87.2,69.8,64.9,point
2025-06-21 02:00:00 AM,68.3,88.3,69.3,64.7,point
2025-06-21 02:20:00 AM,68.0,89.0,68.9,64.6,point
2025-06-21 02:40:00 AM,67.5,90.8,68.5,64.7,point
2025-06-21 03:00:00 AM,67.6,90.8,68.5,64.8,point
