"Device Name","D2 - 2503418"
"Device Model","Kestrel DROP 2"
"Serial Number","2503418"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2025-10-02 10:00:00 PM","61.6","70.7","60.3","51.9","point"
"2025-10-02 10:20:00 PM","60.8","72.8","59.5","52.0","point"
"2025-10-02 10:40:00 PM","59.6","75.3","58.8","51.8","point"
"2025-10-02 11:00:00 PM","58.8","78.2","58.1","52.0","point"
"2025-10-02 11:20:00 PM","57.9","80.4","57.4","51.9","point"
"2025-10-02 11:40:00 PM","57.8","80.2","57.4","51.8","point"
"2025-10-03 12:00:00 AM","58.0","80.2","57.6","52.0","point"
"2025-10-03 12:20:00 AM","57.9","80.2","57.6","51.9","point"
"2025-10-03 12:40:00 AM","57.4","81.4","57.2","51.7","point"
"2025-10-03 01:00:00 AM","56.8","82.1","56.5","51.4","point"
"2025-10-03 01:20:00 AM","55.9","83.8","55.8","51.0","point"
"2025-10-03 01:40:00 AM","55.6","84.7","55.6","51.1","point"
"2025-10-03 02:00:00 AM","55.1","85.6","55.0","50.8","point"
"2025-10-03 02:20:00 AM","54.3","86.5","54.3","50.3","point"
"2025-10-03 02:40:00 AM","54.1","87.2","54.1","50.3","point"
"2025-10-03 03:00:00 AM","53.8","87.2","54.0","50.1","point"
"2025-10-03 03:20:00 AM","53.7","87.9","53.8","50.2","point"
"2025-10-03 03:40:00 AM","53.5","88.0","53.6","50.1","point"
"2025-10-03 04:00:00 AM","53.0","89.1","53.1","49.9","point"
"2025-10-03 04:20:00 AM","52.7","89.8","52.9","49.8","point"
"2025-10-03 04:40:00 AM","52.6","89.7","52.7","49.7","point"
"2025-10-03 05:00:00 AM","52.3","90.3","52.5","49.5","point"
"2025-10-03 05:20:00 AM","52.0","90.7","52.3","49.3","point"
"2025-10-03 05:40:00 AM","51.8","91.1","52.0","49.2","point"
"2025-10-03 06:00:00 AM","51.5","91.4","51.8","49.1","point"
"2025-10-03 06:20:00 AM","51.1","92.1","51.4","48.9","point"
"2025-10-03 06:40:00 AM","50.9","93.0","51.3","49.0","point"
"2025-10-03 07:00:00 AM","50.7","93.4","51.1","48.9","point"
"2025-10-03 07:20:00 AM","50.7","93.7","50.9","48.9","point"
"2025-10-03 07:40:00 AM","51.0","93.9","51.4","49.3","point"
"2025-10-03 08:00:00 AM","51.7","93.7","52.0","50.0","point"
"2025-10-03 08:20:00 AM","53.7","91.3","54.0","51.3","point"
"2025-10-03 08:40:00 AM","55.7","86.5","55.8","51.7","point"
"2025-10-03 09:00:00 AM","57.6","84.2","57.6","52.9","point"
"2025-10-03 09:20:00 AM","60.0","80.0","59.5","53.9","point"
"2025-10-03 09:40:00 AM","61.3","77.9","60.6","54.3","point"
"2025-10-03 10:00:00 AM","62.4","76.6","61.7","55.0","point"
"2025-10-03 10:20:00 AM","62.9","73.3","61.9","54.2","point"
"2025-10-03 10:40:00 AM","64.1","73.2","63.0","55.4","point"
