Device Name,D2 - 2974347
Device Model,Kestrel DROP 2
Serial Number,2974347
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,%,°F,°F
2025-06-12 04:00:00 PM,83.7,61.5,88.3,69.0,point
2025-06-12 04:20:00 PM,86.4,59.3,93.2,70.5,point
2025-06-12 04:40:00 PM,85.9,61.0,92.7,70.8,point
2025-06-12 05:00:00 PM,86.1,62.1,93.4,71.6,point
2025-06-12 05:20:00 PM,86.8,60.0,94.1,71.2,point
2025-06-12 05:40:00 PM,87.0,59.4,94.3,71.1,point
2025-06-12 06:00:00 PM,87.2,59.2,94.5,71.3,point
2025-06-12 06:20:00 PM,86.5,62.6,94.3,72.2,point
2025-06-12 06:40:00 PM,85.9,63.5,93.6,72.1,point
2025-06-12 07:00:00 PM,85.2,65.5,92.8,72.3,point
2025-06-12 07:20:00 PM,84.7,66.9,92.1,72.5,point
2025-06-12 07:40:00 PM,84.1,68.5,91.4,72.6,point
2025-06-12 08:00:00 PM,83.3,63.4,88.2,69.6,point
2025-06-12 08:20:00 PM,80.0,71.3,83.7,69.9,point
2025-06-12 08:40:00 PM,78.3,77.5,81.9,70.7,point
2025-06-12 09:00:00 PM,77.9,80.4,81.7,71.4,point
2025-06-12 09:20:00 PM,77.9,82.6,81.7,72.1,point
2025-06-12 09:40:00 PM,75.7,87.5,78.6,71.7,point
2025-06-12 10:00:00 PM,74.9,89.4,77.7,71.5,point
2025-06-12 10:20:00 PM,74.5,90.8,77.5,71.7,point
2025-06-12 10:40:00 PM,74.4,91.8,77.4,71.9,point
2025-06-12 11:00:00 PM,74.3,92.6,77.5,72.0,point
2025-06-12 11:20:00 PM,74.1,92.1,76.8,71.7,point
2025-06-12 11:40:00 PM,74.1,92.2,76.8,71.7,point
2025-06-13 12:00:00 AM,74.3,91.7,77.2,71.7,point
2025-06-13 12:20:00 AM,74.4,91.2,77.2,71.7,point
2025-06-13 12:40:00 AM,74.3,91.5,77.2,71.7,point
2025-06-13 01:00:00 AM,74.2,91.4,77.2,71.6,point
2025-06-13 01:20:00 AM,74.2,91.4,77.2,71.5,point
2025-06-13 01:40:00 AM,74.1,91.8,76.8,71.6,point
2025-06-13 02:00:00 AM,74.0,92.2,76.8,71.6,point
2025-06-13 02:20:00 AM,73.7,92.7,76.5,71.5,point
2025-06-13 02:40:00 AM,73.3,93.9,76.1,71.5,point
2025-06-13 03:00:00 AM,73.2,94.5,75.9,71.5,point
2025-06-13 03:20:00 AM,73.1,94.7,75.9,71.5,point
2025-06-13 03:40:00 AM,72.9,94.9,75.6,71.4,point
2025-06-13 04:00:00 AM,72.9,95.0,75.6,71.4,point
2025-06-13 04:20:00 AM,72.7,94.9,75.4,71.1,point
2025-06-13 04:40:00 AM,72.6,95.2,75.2,71.1,point
2025-06-13 05:00:00 AM,72.6,94.9,75.2,71.0,point
2025-06-13 05:20:00 AM,72.6,94.9,75.2,71.1,point
2025-06-13 05:40:00 AM,72.6,94.8,75.2,71.0,point
2025-06-13 06:00:00 AM,72.5,94.9,75.2,71.0,point
2025-06-13 06:20:00 AM,72.8,94.9,75.4,71.2,point
2025-06-13 06:40:00 AM,73.0,94.3,75.6,71.3,point
2025-06-13 07:00:00 AM,73.4,94.0,76.5,71.6,point
2025-06-13 07:20:00 AM,73.8,93.8,76.8,72.0,point
2025-06-13 07:40:00 AM,74.3,93.6,77.5,72.4,point
2025-06-13 08:00:00 AM,75.3,92.5,78.6,73.0,point
2025-06-13 08:20:00 AM,76.4,89.8,79.7,73.2,point
2025-06-13 08:40:00 AM,77.0,87.8,80.6,73.1,point
2025-06-13 09:00:00 AM,77.4,87.3,81.9,73.3,point
2025-06-13 09:20:00 AM,78.8,84.8,84.6,73.8,point
2025-06-13 09:40:00 AM,78.6,85.0,83.7,73.7,point
2025-06-13 10:00:00 AM,79.1,84.0,84.6,73.8,point
2025-06-13 10:20:00 AM,80.7,81.4,87.4,74.5,point
2025-06-13 10:40:00 AM,81.2,79.2,88.0,74.2,point
2025-06-13 11:00:00 AM,81.4,79.2,88.5,74.4,point
2025-06-13 11:20:00 AM,81.9,78.2,89.2,74.4,point
2025-06-13 11:40:00 AM,82.0,77.2,88.9,74.2,point
2025-06-13 12:00:00 PM,85.5,71.6,95.9,75.3,point
2025-06-13 12:20:00 PM,86.1,68.8,96.1,74.7,point
2025-06-13 12:40:00 PM,84.2,70.8,92.1,73.6,point
2025-06-13 01:00:00 PM,87.4,66.6,98.1,74.9,point
2025-06-13 01:20:00 PM,88.0,64.5,98.8,74.5,point
2025-06-13 01:40:00 PM,86.9,64.7,96.4,73.6,point
2025-06-13 02:00:00 PM,88.7,65.0,101.1,75.4,point
2025-06-13 02:20:00 PM,83.0,72.3,90.0,73.2,point
2025-06-13 02:40:00 PM,81.9,73.7,88.0,72.7,point
2025-06-13 03:00:00 PM,80.5,76.3,85.8,72.4,point
2025-06-13 03:20:00 PM,79.2,80.8,84.4,72.8,point
2025-06-13 03:40:00 PM,77.6,84.1,81.5,72.4,point
2025-06-13 04:00:00 PM,75.5,86.9,78.3,71.3,point
2025-06-13 04:20:00 PM,74.7,91.5,77.9,72.1,point
2025-06-13 04:40:00 PM,74.4,93.5,77.5,72.4,point
2025-06-13 05:00:00 PM,75.8,93.3,79.5,73.7,point
2025-06-13 05:20:00 PM,76.6,92.6,80.6,74.3,point
2025-06-13 05:40:00 PM,76.2,91.3,79.7,73.5,point
2025-06-13 06:00:00 PM,76.5,92.3,80.4,74.1,point
2025-06-13 06:20:00 PM,76.3,89.7,79.7,73.1,point
2025-06-13 06:40:00 PM,75.7,91.2,79.0,73.0,point
2025-06-13 07:00:00 PM,75.6,91.9,79.2,73.1,point
2025-06-13 07:20:00 PM,75.8,92.4,79.3,73.5,point
