Temperature,Relative.Humidity,Heat_Index,Dew_Point,datetime,sensor_id
83.9,52.6,86.4,64.7,2026-05-28 11:40:00,2799155
85.0,49.5,87.3,64.0,2026-05-28 12:00:00,2799155
85.3,51.2,88.3,65.3,2026-05-28 12:20:00,2799155
84.1,48.7,85.5,62.7,2026-05-28 12:40:00,2799155
83.7,51.7,85.6,64.0,2026-05-28 13:00:00,2799155
85.6,49.6,88.2,64.6,2026-05-28 13:20:00,2799155
87.7,46.2,90.5,64.4,2026-05-28 13:40:00,2799155
86.8,47.1,89.4,64.2,2026-05-28 14:00:00,2799155
86.5,48.0,89.2,64.5,2026-05-28 14:20:00,2799155
85.1,48.3,87.3,63.4,2026-05-28 14:40:00,2799155
86.1,44.4,87.4,61.9,2026-05-28 15:00:00,2799155
86.7,44.5,88.3,62.5,2026-05-28 15:20:00,2799155
86.8,42.8,88.2,61.4,2026-05-28 15:40:00,2799155
87.9,43.1,89.8,62.7,2026-05-28 16:00:00,2799155
86.4,43.5,87.8,61.6,2026-05-28 16:20:00,2799155
86.1,43.5,87.3,61.3,2026-05-28 16:40:00,2799155
87.1,43.1,88.7,62.0,2026-05-28 17:00:00,2799155
87.7,43.4,89.6,62.7,2026-05-28 17:20:00,2799155
87.6,42.2,88.9,61.8,2026-05-28 17:40:00,2799155
87.5,41.5,88.7,61.3,2026-05-28 18:00:00,2799155
87.4,42.2,88.9,61.6,2026-05-28 18:20:00,2799155
87.5,43.6,89.4,62.6,2026-05-28 18:40:00,2799155
86.3,44.0,87.6,61.8,2026-05-28 19:00:00,2799155
85.8,43.7,86.9,61.2,2026-05-28 19:20:00,2799155
85.2,47.0,86.9,62.7,2026-05-28 19:40:00,2799155
84.6,48.3,86.2,62.9,2026-05-28 20:00:00,2799155
83.1,51.1,84.6,63.2,2026-05-28 20:20:00,2799155
82.1,52.8,83.1,63.2,2026-05-28 20:40:00,2799155
81.1,54.3,82.0,63.0,2026-05-28 21:00:00,2799155
80.9,54.6,81.7,63.1,2026-05-28 21:20:00,2799155
80.2,55.1,81.0,62.6,2026-05-28 21:40:00,2799155
79.2,55.6,79.7,61.9,2026-05-28 22:00:00,2799155
79.2,53.8,79.3,61.0,2026-05-28 22:20:00,2799155
78.6,52.2,78.1,59.6,2026-05-28 22:40:00,2799155
78.0,52.2,77.4,59.0,2026-05-28 23:00:00,2799155
77.0,53.6,76.1,58.9,2026-05-28 23:20:00,2799155
76.2,54.2,75.4,58.5,2026-05-28 23:40:00,2799155
75.5,54.8,74.7,58.2,2026-05-29 00:00:00,2799155
74.9,54.6,74.1,57.4,2026-05-29 00:20:00,2799155
74.2,55.1,73.6,57.0,2026-05-29 00:40:00,2799155
73.4,56.2,72.9,56.8,2026-05-29 01:00:00,2799155
72.9,56.8,72.5,56.7,2026-05-29 01:20:00,2799155
72.3,57.7,72.0,56.6,2026-05-29 01:40:00,2799155
71.6,59.1,71.2,56.6,2026-05-29 02:00:00,2799155
70.8,60.4,70.9,56.5,2026-05-29 02:20:00,2799155
70.1,62.5,69.8,56.7,2026-05-29 02:40:00,2799155
69.6,63.4,69.3,56.6,2026-05-29 03:00:00,2799155
