Temperature,Relative.Humidity,Heat_Index,Dew_Point,datetime,sensor_id
90.1,36.0,91.0,59.5,2026-06-06 12:20:00,2968894
90.7,35.0,91.8,59.3,2026-06-06 12:40:00,2968894
91.5,33.9,92.5,59.0,2026-06-06 13:00:00,2968894
89.5,33.9,89.4,57.4,2026-06-06 13:20:00,2968894
92.9,34.0,94.8,60.4,2026-06-06 13:40:00,2968894
91.1,35.0,92.5,59.6,2026-06-06 14:00:00,2968894
91.9,35.5,93.9,60.8,2026-06-06 14:20:00,2968894
91.6,35.5,93.6,60.5,2026-06-06 14:40:00,2968894
90.8,36.2,92.3,60.3,2026-06-06 15:00:00,2968894
92.8,35.7,95.4,61.7,2026-06-06 15:20:00,2968894
93.4,33.6,95.5,60.5,2026-06-06 15:40:00,2968894
91.0,36.8,92.8,61.0,2026-06-06 16:00:00,2968894
92.1,35.9,94.3,61.2,2026-06-06 16:20:00,2968894
92.4,35.1,94.6,60.8,2026-06-06 16:40:00,2968894
93.9,33.0,95.9,60.4,2026-06-06 17:00:00,2968894
93.4,31.5,94.6,58.7,2026-06-06 17:20:00,2968894
91.9,35.4,94.1,60.7,2026-06-06 17:40:00,2968894
91.5,36.4,93.6,61.1,2026-06-06 18:00:00,2968894
90.3,35.5,91.6,59.4,2026-06-06 18:20:00,2968894
90.2,34.3,90.9,58.3,2026-06-06 18:40:00,2968894
89.4,34.8,89.6,58.0,2026-06-06 19:00:00,2968894
89.0,35.8,89.4,58.5,2026-06-06 19:20:00,2968894
88.4,35.9,88.5,58.0,2026-06-06 19:40:00,2968894
87.6,37.8,87.6,58.7,2026-06-06 20:00:00,2968894
86.2,39.3,86.2,58.6,2026-06-06 20:20:00,2968894
85.4,41.2,85.5,59.2,2026-06-06 20:40:00,2968894
84.6,42.7,84.7,59.4,2026-06-06 21:00:00,2968894
83.8,44.0,83.7,59.5,2026-06-06 21:20:00,2968894
83.1,45.4,82.9,59.8,2026-06-06 21:40:00,2968894
82.5,46.7,82.4,60.1,2026-06-06 22:00:00,2968894
82.1,47.8,82.0,60.4,2026-06-06 22:20:00,2968894
81.6,48.6,81.5,60.4,2026-06-06 22:40:00,2968894
81.4,49.1,81.3,60.5,2026-06-06 23:00:00,2968894
80.5,50.5,80.4,60.5,2026-06-06 23:20:00,2968894
79.8,51.7,79.9,60.4,2026-06-06 23:40:00,2968894
79.2,53.0,79.2,60.6,2026-06-07 00:00:00,2968894
79.0,54.1,79.2,61.0,2026-06-07 00:20:00,2968894
78.5,55.5,78.6,61.3,2026-06-07 00:40:00,2968894
78.1,56.7,78.1,61.4,2026-06-07 01:00:00,2968894
77.5,58.2,77.4,61.7,2026-06-07 01:20:00,2968894
77.3,58.9,77.2,61.8,2026-06-07 01:40:00,2968894
76.5,60.5,76.5,61.8,2026-06-07 02:00:00,2968894
76.2,61.3,76.1,61.9,2026-06-07 02:20:00,2968894
76.0,61.6,76.1,61.9,2026-06-07 02:40:00,2968894
75.7,62.4,75.7,61.9,2026-06-07 03:00:00,2968894
75.9,62.0,76.1,62.0,2026-06-07 03:20:00,2968894
74.7,63.9,75.0,61.6,2026-06-07 03:40:00,2968894
73.8,65.8,74.1,61.6,2026-06-07 04:00:00,2968894
72.6,68.3,73.0,61.6,2026-06-07 04:20:00,2968894
71.5,70.6,72.1,61.5,2026-06-07 04:40:00,2968894
71.0,72.4,71.8,61.6,2026-06-07 05:00:00,2968894
70.4,73.8,71.1,61.6,2026-06-07 05:20:00,2968894
69.8,75.0,70.3,61.5,2026-06-07 05:40:00,2968894
69.6,75.9,70.0,61.6,2026-06-07 06:00:00,2968894
69.6,76.8,70.3,62.0,2026-06-07 06:20:00,2968894
70.1,76.1,70.7,62.2,2026-06-07 06:40:00,2968894
71.0,75.0,71.8,62.7,2026-06-07 07:00:00,2968894
72.2,73.8,73.2,63.4,2026-06-07 07:20:00,2968894
74.2,70.5,75.0,64.0,2026-06-07 07:40:00,2968894
76.5,67.4,77.2,64.8,2026-06-07 08:00:00,2968894
79.3,62.1,80.6,65.2,2026-06-07 08:20:00,2968894
82.0,57.0,83.8,65.3,2026-06-07 08:40:00,2968894
83.9,53.0,86.4,64.9,2026-06-07 09:00:00,2968894
84.7,50.1,86.9,64.0,2026-06-07 09:20:00,2968894
86.5,48.4,89.2,64.7,2026-06-07 09:40:00,2968894
88.0,46.0,91.2,64.7,2026-06-07 10:00:00,2968894
88.5,44.5,91.6,64.2,2026-06-07 10:20:00,2968894
89.9,41.4,92.8,63.3,2026-06-07 10:40:00,2968894
90.7,40.5,94.1,63.4,2026-06-07 11:00:00,2968894
91.3,40.5,95.2,64.0,2026-06-07 11:20:00,2968894
93.1,37.4,96.8,63.3,2026-06-07 11:40:00,2968894
91.9,37.1,94.5,62.0,2026-06-07 12:00:00,2968894
94.1,35.4,97.5,62.6,2026-06-07 12:20:00,2968894
94.9,34.3,98.4,62.4,2026-06-07 12:40:00,2968894
95.7,33.3,99.1,62.2,2026-06-07 13:00:00,2968894
96.9,33.2,101.3,63.2,2026-06-07 13:20:00,2968894
94.9,33.2,97.7,61.5,2026-06-07 13:40:00,2968894
95.8,33.2,99.3,62.3,2026-06-07 14:00:00,2968894
97.2,32.6,101.5,62.9,2026-06-07 14:20:00,2968894
96.3,33.2,100.2,62.7,2026-06-07 14:40:00,2968894
96.5,32.4,100.0,62.1,2026-06-07 15:00:00,2968894
96.3,31.4,99.1,61.1,2026-06-07 15:20:00,2968894
95.5,33.4,99.0,62.2,2026-06-07 15:40:00,2968894
97.7,31.5,101.7,62.4,2026-06-07 16:00:00,2968894
98.8,31.0,102.9,62.9,2026-06-07 16:20:00,2968894
96.4,31.7,99.3,61.4,2026-06-07 16:40:00,2968894
95.8,32.1,98.6,61.3,2026-06-07 17:00:00,2968894
97.4,30.4,100.4,61.2,2026-06-07 17:20:00,2968894
96.6,31.0,99.3,61.0,2026-06-07 17:40:00,2968894
95.7,32.9,99.0,61.9,2026-06-07 18:00:00,2968894
95.5,34.6,99.5,63.1,2026-06-07 18:20:00,2968894
94.0,36.8,97.9,63.6,2026-06-07 18:40:00,2968894
92.4,38.4,96.1,63.4,2026-06-07 19:00:00,2968894
91.7,39.3,95.4,63.4,2026-06-07 19:20:00,2968894
91.0,40.3,94.3,63.6,2026-06-07 19:40:00,2968894
90.0,40.9,92.8,63.0,2026-06-07 20:00:00,2968894
89.2,41.9,91.8,63.0,2026-06-07 20:20:00,2968894
88.1,42.9,90.1,62.8,2026-06-07 20:40:00,2968894
87.5,42.8,89.2,62.1,2026-06-07 21:00:00,2968894
86.9,43.3,88.2,61.9,2026-06-07 21:20:00,2968894
86.2,44.5,87.6,62.0,2026-06-07 21:40:00,2968894
85.3,46.1,86.9,62.3,2026-06-07 22:00:00,2968894
84.7,47.8,86.2,62.7,2026-06-07 22:20:00,2968894
83.9,48.7,85.3,62.6,2026-06-07 22:40:00,2968894
83.6,49.1,84.7,62.5,2026-06-07 23:00:00,2968894
83.2,49.5,84.2,62.3,2026-06-07 23:20:00,2968894
82.8,49.6,83.7,62.1,2026-06-07 23:40:00,2968894
82.5,49.9,82.9,61.9,2026-06-08 00:00:00,2968894
81.6,50.9,81.9,61.6,2026-06-08 00:20:00,2968894
