Temperature,Relative.Humidity,Heat_Index,Dew_Point,datetime,sensor_id
84.4,31.6,81.7,50.9,2026-05-28 12:00:00,3086552
84.0,29.3,81.1,48.6,2026-05-28 12:20:00,3086552
82.3,43.5,81.5,57.8,2026-05-28 12:40:00,3086552
78.9,32.9,75.7,47.3,2026-05-28 13:00:00,3086552
75.1,35.1,72.5,45.7,2026-05-28 13:20:00,3086552
73.7,51.3,72.7,54.6,2026-05-28 13:40:00,3086552
79.1,54.3,79.2,61.2,2026-05-28 14:00:00,3086552
86.4,51.1,90.3,66.2,2026-05-28 14:20:00,3086552
92.8,48.3,101.7,70.4,2026-05-28 14:40:00,3086552
98.2,44.8,111.6,73.0,2026-05-28 15:00:00,3086552
102.8,43.0,121.5,76.0,2026-05-28 15:20:00,3086552
100.2,32.2,106.3,65.2,2026-05-28 15:40:00,3086552
96.4,29.1,98.1,59.1,2026-05-28 16:00:00,3086552
89.1,38.6,90.5,60.6,2026-05-28 16:20:00,3086552
86.7,44.0,88.2,62.2,2026-05-28 16:40:00,3086552
87.7,43.2,89.6,62.5,2026-05-28 17:00:00,3086552
87.5,41.1,88.7,61.0,2026-05-28 17:20:00,3086552
87.5,40.4,88.3,60.4,2026-05-28 17:40:00,3086552
87.3,41.9,88.7,61.4,2026-05-28 18:00:00,3086552
86.9,42.3,88.3,61.3,2026-05-28 18:20:00,3086552
86.3,43.5,87.4,61.5,2026-05-28 18:40:00,3086552
85.1,46.9,86.5,62.5,2026-05-28 19:00:00,3086552
85.0,43.9,85.5,60.6,2026-05-28 19:20:00,3086552
84.5,47.8,85.8,62.5,2026-05-28 19:40:00,3086552
82.9,50.8,83.8,62.8,2026-05-28 20:00:00,3086552
81.6,53.0,82.4,62.8,2026-05-28 20:20:00,3086552
80.4,55.8,81.1,63.2,2026-05-28 20:40:00,3086552
79.3,58.8,80.2,63.6,2026-05-28 21:00:00,3086552
78.0,62.2,78.8,64.0,2026-05-28 21:20:00,3086552
77.2,63.8,77.9,64.0,2026-05-28 21:40:00,3086552
77.3,62.1,77.7,63.3,2026-05-28 22:00:00,3086552
76.7,62.3,76.8,62.9,2026-05-28 22:20:00,3086552
76.2,62.3,76.3,62.4,2026-05-28 22:40:00,3086552
76.2,58.3,75.7,60.5,2026-05-28 23:00:00,3086552
76.0,58.6,75.7,60.4,2026-05-28 23:20:00,3086552
76.3,55.7,75.7,59.3,2026-05-28 23:40:00,3086552
75.5,55.3,74.8,58.4,2026-05-29 00:00:00,3086552
74.7,55.9,74.1,57.9,2026-05-29 00:20:00,3086552
73.9,56.8,73.4,57.5,2026-05-29 00:40:00,3086552
73.3,57.1,72.9,57.2,2026-05-29 01:00:00,3086552
73.2,57.1,72.7,57.1,2026-05-29 01:20:00,3086552
72.6,56.4,72.1,56.2,2026-05-29 01:40:00,3086552
72.3,57.0,72.0,56.3,2026-05-29 02:00:00,3086552
71.7,58.0,71.4,56.1,2026-05-29 02:20:00,3086552
70.8,60.1,70.9,56.3,2026-05-29 02:40:00,3086552
69.5,61.9,69.1,55.9,2026-05-29 03:00:00,3086552
68.7,63.6,68.0,55.9,2026-05-29 03:20:00,3086552
67.9,65.5,67.1,55.9,2026-05-29 03:40:00,3086552
67.0,66.2,66.0,55.4,2026-05-29 04:00:00,3086552
66.7,67.0,65.5,55.4,2026-05-29 04:20:00,3086552
66.0,67.9,64.6,55.1,2026-05-29 04:40:00,3086552
65.4,69.1,63.9,55.0,2026-05-29 05:00:00,3086552
64.9,70.2,63.7,55.0,2026-05-29 05:20:00,3086552
64.3,72.8,63.1,55.4,2026-05-29 05:40:00,3086552
63.8,72.9,62.6,54.9,2026-05-29 06:00:00,3086552
63.5,72.6,62.2,54.5,2026-05-29 06:20:00,3086552
63.8,70.4,62.4,54.0,2026-05-29 06:40:00,3086552
64.8,68.5,63.3,54.2,2026-05-29 07:00:00,3086552
65.4,66.1,63.7,53.8,2026-05-29 07:20:00,3086552
65.7,63.7,63.9,53.1,2026-05-29 07:40:00,3086552
66.3,63.1,64.6,53.4,2026-05-29 08:00:00,3086552
67.4,62.3,66.0,54.1,2026-05-29 08:20:00,3086552
68.5,60.0,67.5,54.1,2026-05-29 08:40:00,3086552
69.7,60.0,69.3,55.3,2026-05-29 09:00:00,3086552
70.8,55.5,70.5,54.1,2026-05-29 09:20:00,3086552
71.1,55.7,70.7,54.4,2026-05-29 09:40:00,3086552
72.6,54.0,72.0,55.0,2026-05-29 10:00:00,3086552
73.6,52.3,72.9,55.1,2026-05-29 10:20:00,3086552
74.0,49.8,72.9,54.1,2026-05-29 10:40:00,3086552
74.8,48.6,73.4,54.1,2026-05-29 11:00:00,3086552
76.1,43.6,74.1,52.3,2026-05-29 11:20:00,3086552
77.1,43.9,75.2,53.5,2026-05-29 11:40:00,3086552
78.9,43.2,77.2,54.6,2026-05-29 12:00:00,3086552
79.2,42.0,77.5,54.1,2026-05-29 12:20:00,3086552
79.3,40.4,77.4,53.2,2026-05-29 12:40:00,3086552
82.3,38.9,80.6,54.8,2026-05-29 13:00:00,3086552
82.8,37.8,81.1,54.4,2026-05-29 13:20:00,3086552
81.0,36.0,78.6,51.5,2026-05-29 13:40:00,3086552
