Temperature,Relative.Humidity,Heat_Index,Dew_Point,datetime,sensor_id
89.3,29.9,87.8,53.7,2026-06-15 14:00:00,2558025
88.6,28.6,86.5,51.9,2026-06-15 14:20:00,2558025
90.4,28.8,89.1,53.7,2026-06-15 14:40:00,2558025
90.0,29.0,88.5,53.5,2026-06-15 15:00:00,2558025
90.9,27.4,89.4,52.7,2026-06-15 15:20:00,2558025
92.0,27.7,91.0,53.9,2026-06-15 15:40:00,2558025
90.2,29.5,89.1,54.2,2026-06-15 16:00:00,2558025
90.7,28.9,89.6,54.0,2026-06-15 16:20:00,2558025
91.1,28.6,90.0,54.0,2026-06-15 16:40:00,2558025
90.6,27.4,88.9,52.4,2026-06-15 17:00:00,2558025
93.3,26.1,92.1,53.4,2026-06-15 17:20:00,2558025
92.6,26.4,91.2,53.2,2026-06-15 17:40:00,2558025
90.5,27.2,88.9,52.2,2026-06-15 18:00:00,2558025
87.7,30.5,85.6,52.9,2026-06-15 18:20:00,2558025
86.3,32.5,84.6,53.4,2026-06-15 18:40:00,2558025
86.1,33.3,84.4,53.9,2026-06-15 19:00:00,2558025
85.7,33.7,84.0,53.9,2026-06-15 19:20:00,2558025
85.1,34.7,83.3,54.1,2026-06-15 19:40:00,2558025
84.0,35.1,82.4,53.5,2026-06-15 20:00:00,2558025
83.1,35.9,81.0,53.3,2026-06-15 20:20:00,2558025
81.8,37.5,79.7,53.4,2026-06-15 20:40:00,2558025
80.6,39.0,78.8,53.4,2026-06-15 21:00:00,2558025
78.1,42.3,76.3,53.3,2026-06-15 21:20:00,2558025
76.8,43.9,75.0,53.2,2026-06-15 21:40:00,2558025
75.3,45.1,73.6,52.6,2026-06-15 22:00:00,2558025
75.1,46.8,73.6,53.4,2026-06-15 22:20:00,2558025
73.5,50.0,72.3,53.7,2026-06-15 22:40:00,2558025
72.5,52.2,71.6,53.9,2026-06-15 23:00:00,2558025
71.5,54.3,70.9,54.2,2026-06-15 23:20:00,2558025
70.6,55.5,70.2,53.9,2026-06-15 23:40:00,2558025
70.0,56.7,69.4,53.9,2026-06-16 00:00:00,2558025
69.1,59.2,68.4,54.2,2026-06-16 00:20:00,2558025
69.1,60.8,68.2,55.0,2026-06-16 00:40:00,2558025
68.8,61.1,68.0,54.9,2026-06-16 01:00:00,2558025
68.2,62.4,67.3,54.9,2026-06-16 01:20:00,2558025
67.9,63.7,66.9,55.1,2026-06-16 01:40:00,2558025
68.2,63.0,67.5,55.1,2026-06-16 02:00:00,2558025
68.1,60.6,66.9,53.9,2026-06-16 02:20:00,2558025
69.0,57.5,68.0,53.4,2026-06-16 02:40:00,2558025
68.5,57.9,67.3,53.1,2026-06-16 03:00:00,2558025
68.1,58.3,66.7,52.9,2026-06-16 03:20:00,2558025
68.5,56.5,67.1,52.5,2026-06-16 03:40:00,2558025
68.9,55.0,67.5,52.0,2026-06-16 04:00:00,2558025
68.6,55.2,67.3,51.9,2026-06-16 04:20:00,2558025
68.0,56.1,66.6,51.8,2026-06-16 04:40:00,2558025
67.9,56.6,66.4,51.9,2026-06-16 05:00:00,2558025
67.8,56.7,66.2,51.9,2026-06-16 05:20:00,2558025
67.9,56.4,66.4,51.9,2026-06-16 05:40:00,2558025
67.8,57.4,66.2,52.2,2026-06-16 06:00:00,2558025
67.6,57.5,66.0,52.1,2026-06-16 06:20:00,2558025
67.9,57.8,66.6,52.5,2026-06-16 06:40:00,2558025
68.1,58.4,66.7,53.0,2026-06-16 07:00:00,2558025
68.5,58.6,67.3,53.4,2026-06-16 07:20:00,2558025
68.9,58.3,67.8,53.6,2026-06-16 07:40:00,2558025
69.9,57.8,69.3,54.4,2026-06-16 08:00:00,2558025
70.4,57.5,70.0,54.7,2026-06-16 08:20:00,2558025
70.6,57.5,70.2,54.9,2026-06-16 08:40:00,2558025
71.8,56.4,71.4,55.5,2026-06-16 09:00:00,2558025
73.1,53.4,72.5,55.2,2026-06-16 09:20:00,2558025
73.3,53.4,72.5,55.3,2026-06-16 09:40:00,2558025
75.6,50.9,74.5,56.2,2026-06-16 10:00:00,2558025
76.2,48.4,74.7,55.3,2026-06-16 10:20:00,2558025
77.1,47.6,75.6,55.7,2026-06-16 10:40:00,2558025
78.0,46.6,76.6,56.0,2026-06-16 11:00:00,2558025
78.1,44.8,76.5,54.9,2026-06-16 11:20:00,2558025
78.8,45.3,77.5,55.9,2026-06-16 11:40:00,2558025
79.1,43.5,77.5,55.0,2026-06-16 12:00:00,2558025
80.0,44.8,78.8,56.6,2026-06-16 12:20:00,2558025
80.9,43.5,79.7,56.7,2026-06-16 12:40:00,2558025
80.0,42.9,78.4,55.4,2026-06-16 13:00:00,2558025
81.8,42.3,80.6,56.7,2026-06-16 13:20:00,2558025
84.6,37.2,83.5,55.6,2026-06-16 13:40:00,2558025
84.9,38.6,84.4,57.0,2026-06-16 14:00:00,2558025
85.5,36.9,84.6,56.2,2026-06-16 14:20:00,2558025
86.3,36.8,85.6,56.8,2026-06-16 14:40:00,2558025
90.1,34.4,90.5,58.3,2026-06-16 15:00:00,2558025
87.7,34.9,87.1,56.6,2026-06-16 15:20:00,2558025
89.2,35.1,89.2,58.1,2026-06-16 15:40:00,2558025
86.6,37.0,86.4,57.3,2026-06-16 16:00:00,2558025
85.3,39.4,85.1,57.8,2026-06-16 16:20:00,2558025
86.1,39.2,86.0,58.3,2026-06-16 16:40:00,2558025
84.8,41.3,84.7,58.7,2026-06-16 17:00:00,2558025
84.7,41.7,84.6,58.9,2026-06-16 17:20:00,2558025
84.3,43.3,84.4,59.5,2026-06-16 17:40:00,2558025
83.9,44.3,84.0,59.9,2026-06-16 18:00:00,2558025
82.7,46.2,82.6,59.9,2026-06-16 18:20:00,2558025
82.6,47.3,82.4,60.5,2026-06-16 18:40:00,2558025
82.2,47.4,82.2,60.2,2026-06-16 19:00:00,2558025
81.8,46.7,81.5,59.4,2026-06-16 19:20:00,2558025
81.2,47.6,81.0,59.5,2026-06-16 19:40:00,2558025
80.7,48.2,80.2,59.3,2026-06-16 20:00:00,2558025
80.2,49.3,79.9,59.5,2026-06-16 20:20:00,2558025
79.3,50.4,78.8,59.3,2026-06-16 20:40:00,2558025
78.3,51.9,77.9,59.2,2026-06-16 21:00:00,2558025
77.5,52.8,76.6,58.9,2026-06-16 21:20:00,2558025
77.1,53.6,76.5,59.0,2026-06-16 21:40:00,2558025
76.5,55.0,75.9,59.1,2026-06-16 22:00:00,2558025
76.2,55.5,75.6,59.1,2026-06-16 22:20:00,2558025
75.9,56.6,75.2,59.4,2026-06-16 22:40:00,2558025
75.8,57.3,75.4,59.6,2026-06-16 23:00:00,2558025
75.7,58.0,75.2,59.9,2026-06-16 23:20:00,2558025
75.1,58.7,74.8,59.6,2026-06-16 23:40:00,2558025
75.0,59.6,74.7,60.0,2026-06-17 00:00:00,2558025
74.8,60.9,74.7,60.4,2026-06-17 00:20:00,2558025
74.2,62.6,74.3,60.6,2026-06-17 00:40:00,2558025
73.9,64.0,74.1,61.0,2026-06-17 01:00:00,2558025
73.5,65.5,73.8,61.2,2026-06-17 01:20:00,2558025
73.0,67.2,73.4,61.4,2026-06-17 01:40:00,2558025
72.7,68.9,73.2,61.9,2026-06-17 02:00:00,2558025
72.1,70.6,72.7,62.0,2026-06-17 02:20:00,2558025
71.8,72.5,72.7,62.5,2026-06-17 02:40:00,2558025
72.0,73.2,72.9,62.9,2026-06-17 03:00:00,2558025
71.7,74.4,72.5,63.2,2026-06-17 03:20:00,2558025
71.3,75.3,72.3,63.1,2026-06-17 03:40:00,2558025
