Temperature,Relative.Humidity,Heat_Index,Dew_Point,datetime,sensor_id
89.5,54.5,97.7,70.9,2026-06-13 11:00:00,2974169
90.0,52.0,97.9,70.0,2026-06-13 11:20:00,2974169
92.8,50.2,102.9,71.6,2026-06-13 11:40:00,2974169
94.4,46.6,104.2,70.8,2026-06-13 12:00:00,2974169
90.9,47.1,97.3,67.9,2026-06-13 12:20:00,2974169
91.8,49.0,100.0,69.9,2026-06-13 12:40:00,2974169
94.8,42.6,102.9,68.6,2026-06-13 13:00:00,2974169
94.2,44.0,102.0,68.9,2026-06-13 13:20:00,2974169
94.0,44.0,101.7,68.7,2026-06-13 13:40:00,2974169
95.7,41.3,104.2,68.4,2026-06-13 14:00:00,2974169
97.3,38.1,105.1,67.5,2026-06-13 14:20:00,2974169
96.6,38.8,104.0,67.4,2026-06-13 14:40:00,2974169
97.1,37.2,104.2,66.6,2026-06-13 15:00:00,2974169
98.8,36.7,107.2,67.7,2026-06-13 15:20:00,2974169
99.2,35.6,107.1,67.2,2026-06-13 15:40:00,2974169
97.0,36.5,103.3,66.0,2026-06-13 16:00:00,2974169
95.6,38.1,101.8,66.1,2026-06-13 16:20:00,2974169
98.9,36.2,106.9,67.5,2026-06-13 16:40:00,2974169
100.4,34.5,108.9,67.4,2026-06-13 17:00:00,2974169
99.8,35.3,108.0,67.5,2026-06-13 17:20:00,2974169
100.1,34.9,108.5,67.4,2026-06-13 17:40:00,2974169
101.2,34.7,110.5,68.3,2026-06-13 18:00:00,2974169
100.5,34.5,108.9,67.4,2026-06-13 18:20:00,2974169
98.9,35.5,106.3,66.9,2026-06-13 18:40:00,2974169
95.6,39.0,102.6,66.7,2026-06-13 19:00:00,2974169
94.3,41.1,100.6,67.0,2026-06-13 19:20:00,2974169
93.0,43.4,99.7,67.5,2026-06-13 19:40:00,2974169
92.1,44.8,98.6,67.6,2026-06-13 20:00:00,2974169
90.9,46.3,97.0,67.5,2026-06-13 20:20:00,2974169
89.8,48.1,95.5,67.6,2026-06-13 20:40:00,2974169
89.2,49.1,94.6,67.6,2026-06-13 21:00:00,2974169
88.8,49.9,94.1,67.7,2026-06-13 21:20:00,2974169
85.0,59.2,90.1,69.1,2026-06-13 21:40:00,2974169
82.9,63.8,87.1,69.3,2026-06-13 22:00:00,2974169
81.5,67.6,85.5,69.7,2026-06-13 22:20:00,2974169
81.0,69.8,85.3,70.2,2026-06-13 22:40:00,2974169
80.9,70.2,85.1,70.2,2026-06-13 23:00:00,2974169
81.4,68.8,85.6,70.1,2026-06-13 23:20:00,2974169
81.4,66.2,84.9,69.1,2026-06-13 23:40:00,2974169
81.4,65.3,84.7,68.6,2026-06-14 00:00:00,2974169
81.0,65.6,84.4,68.4,2026-06-14 00:20:00,2974169
80.7,66.3,84.0,68.4,2026-06-14 00:40:00,2974169
79.8,68.5,82.8,68.5,2026-06-14 01:00:00,2974169
78.7,70.9,81.5,68.4,2026-06-14 01:20:00,2974169
77.8,73.7,80.2,68.7,2026-06-14 01:40:00,2974169
77.1,76.7,79.3,69.2,2026-06-14 02:00:00,2974169
76.5,78.7,78.6,69.4,2026-06-14 02:20:00,2974169
76.2,80.1,78.3,69.6,2026-06-14 02:40:00,2974169
75.8,81.7,78.1,69.8,2026-06-14 03:00:00,2974169
75.8,82.1,78.3,69.9,2026-06-14 03:20:00,2974169
75.4,83.1,77.7,69.9,2026-06-14 03:40:00,2974169
74.9,84.6,77.4,70.0,2026-06-14 04:00:00,2974169
74.9,85.1,77.4,70.1,2026-06-14 04:20:00,2974169
74.5,86.3,77.0,70.2,2026-06-14 04:40:00,2974169
74.0,87.3,76.5,70.0,2026-06-14 05:00:00,2974169
73.7,88.0,76.1,69.9,2026-06-14 05:20:00,2974169
73.7,88.8,76.1,70.2,2026-06-14 05:40:00,2974169
73.4,89.1,75.9,70.0,2026-06-14 06:00:00,2974169
73.3,89.8,75.6,70.1,2026-06-14 06:20:00,2974169
73.4,90.0,75.9,70.3,2026-06-14 06:40:00,2974169
74.0,89.4,76.6,70.7,2026-06-14 07:00:00,2974169
74.8,88.0,77.4,71.0,2026-06-14 07:20:00,2974169
75.7,86.2,78.4,71.3,2026-06-14 07:40:00,2974169
77.0,83.7,80.4,71.7,2026-06-14 08:00:00,2974169
78.3,81.9,82.8,72.3,2026-06-14 08:20:00,2974169
79.8,78.5,84.9,72.6,2026-06-14 08:40:00,2974169
81.4,75.9,87.4,73.1,2026-06-14 09:00:00,2974169
82.3,74.0,88.7,73.2,2026-06-14 09:20:00,2974169
83.2,71.8,90.3,73.1,2026-06-14 09:40:00,2974169
84.2,69.9,91.9,73.3,2026-06-14 10:00:00,2974169
85.7,67.5,94.8,73.7,2026-06-14 10:20:00,2974169
87.7,64.5,98.1,74.3,2026-06-14 10:40:00,2974169
89.7,58.2,99.9,73.1,2026-06-14 11:00:00,2974169
92.1,55.3,104.2,73.8,2026-06-14 11:20:00,2974169
92.9,50.9,103.6,72.0,2026-06-14 11:40:00,2974169
94.6,47.1,104.9,71.3,2026-06-14 12:00:00,2974169
96.9,44.2,108.1,71.5,2026-06-14 12:20:00,2974169
97.0,43.1,107.6,70.8,2026-06-14 12:40:00,2974169
94.5,45.6,103.8,70.3,2026-06-14 13:00:00,2974169
96.0,45.3,107.1,71.4,2026-06-14 13:20:00,2974169
94.7,47.6,105.6,71.7,2026-06-14 13:40:00,2974169
95.5,45.0,105.4,70.7,2026-06-14 14:00:00,2974169
96.9,45.8,109.2,72.5,2026-06-14 14:20:00,2974169
97.2,40.5,106.5,69.2,2026-06-14 14:40:00,2974169
98.6,36.4,106.7,67.3,2026-06-14 15:00:00,2974169
99.0,35.1,106.3,66.6,2026-06-14 15:20:00,2974169
100.7,33.6,108.5,66.8,2026-06-14 15:40:00,2974169
101.6,34.3,110.8,68.2,2026-06-14 16:00:00,2974169
102.2,32.9,110.8,67.5,2026-06-14 16:20:00,2974169
99.1,34.9,106.3,66.6,2026-06-14 16:40:00,2974169
97.4,36.7,104.5,66.5,2026-06-14 17:00:00,2974169
96.2,38.2,102.9,66.7,2026-06-14 17:20:00,2974169
96.8,37.6,103.8,66.7,2026-06-14 17:40:00,2974169
92.4,41.4,97.3,65.6,2026-06-14 18:00:00,2974169
89.5,48.0,94.8,67.3,2026-06-14 18:20:00,2974169
87.6,51.4,92.7,67.5,2026-06-14 18:40:00,2974169
86.9,53.7,91.9,68.1,2026-06-14 19:00:00,2974169
86.5,55.2,91.8,68.5,2026-06-14 19:20:00,2974169
85.9,58.1,91.6,69.4,2026-06-14 19:40:00,2974169
85.4,59.0,90.9,69.4,2026-06-14 20:00:00,2974169
85.1,60.4,90.5,69.8,2026-06-14 20:20:00,2974169
84.2,61.9,89.1,69.7,2026-06-14 20:40:00,2974169
83.2,65.4,88.3,70.4,2026-06-14 21:00:00,2974169
82.0,68.4,86.9,70.6,2026-06-14 21:20:00,2974169
82.2,68.2,86.9,70.6,2026-06-14 21:40:00,2974169
81.9,70.6,87.1,71.4,2026-06-14 22:00:00,2974169
81.2,73.4,86.4,71.9,2026-06-14 22:20:00,2974169
81.3,73.3,86.4,71.9,2026-06-14 22:40:00,2974169
81.3,73.1,86.4,71.8,2026-06-14 23:00:00,2974169
81.2,72.4,86.4,71.5,2026-06-14 23:20:00,2974169
81.3,71.5,86.0,71.2,2026-06-14 23:40:00,2974169
81.3,71.5,86.0,71.2,2026-06-15 00:00:00,2974169
81.1,71.7,85.8,71.1,2026-06-15 00:20:00,2974169
80.8,72.4,85.6,71.1,2026-06-15 00:40:00,2974169
80.7,72.5,85.3,71.1,2026-06-15 01:00:00,2974169
80.6,72.5,85.3,70.9,2026-06-15 01:20:00,2974169
80.7,72.0,85.1,70.8,2026-06-15 01:40:00,2974169
80.8,71.9,85.5,70.9,2026-06-15 02:00:00,2974169
80.6,72.4,85.3,70.9,2026-06-15 02:20:00,2974169
80.4,73.2,84.7,71.0,2026-06-15 02:40:00,2974169
80.4,73.5,84.7,71.1,2026-06-15 03:00:00,2974169
80.4,73.3,85.1,71.1,2026-06-15 03:20:00,2974169
80.2,73.9,84.6,71.1,2026-06-15 03:40:00,2974169
80.1,73.8,84.6,70.9,2026-06-15 04:00:00,2974169
79.5,74.5,83.5,70.7,2026-06-15 04:20:00,2974169
79.2,74.9,83.1,70.6,2026-06-15 04:40:00,2974169
78.6,74.4,82.0,69.8,2026-06-15 05:00:00,2974169
78.3,75.1,81.5,69.7,2026-06-15 05:20:00,2974169
78.2,70.4,80.4,67.8,2026-06-15 05:40:00,2974169
77.7,68.1,79.3,66.4,2026-06-15 06:00:00,2974169
