"subclass","randomize","GlobalID_1","COR_STREET_1","COR_BEGIN__1","COR_END_DE_1","GlobalID_0","COR_STREET_0","COR_BEGIN__0","COR_END_DE_0"
"11",1,"ac4902b6-ae1e-4533-a8c9-94d0f01f0859","ASHBURTON","NEWCASTLE RD","DUNBAR RD","cffd2d5a-f53f-408e-9107-6c25e3ad39f7","PINEVIEW","KAPLAN DR","WICKHAM RD"
"105",2,"b1a91bef-2cc3-4fef-a697-6bc28c3009b4","CHATHAM","GLASCOCK ST","BELGRADE DR","87d00ae7-0632-4bfd-9025-048e1f72b29a","PURDUE","DEVONWOOD PL","QUAIL HOLLOW DR"
"111",3,"484332ca-46b7-434a-8eb6-962e7f3b6da7","BATTERY","MERRYWOOD DR","E. MARTIN ST","d384e850-dbd4-433a-9e27-7f27088808ca","WATAUGA","N. BOUNDARY ST","E. FRANKLIN ST"
"71",4,"0cd6cea7-140d-44dd-80a5-01078cf9322d","SMITH BASIN","CDS","FARMINGTON GROVE DR","c5224f2b-1625-4c56-a727-ecfcf871dbce","MONTCASTLE","VALLEY ESTATES DR","END PVMT #6100"
"30",5,"e31c323f-0a87-44a7-a084-1b727fd87614","MARCOM","VARSITY DR","COLLEGEVIEW AV","56187daf-5c98-4fcf-b73e-50694ee68a7b","DARBY","BATES ST","BOAZ RD"
"82",6,"5ff1e37b-03eb-4600-a9d3-73198dd298ca","TRIANGLE TOWN","SUMNER BV","OLD WAKE FOREST RD","6611ff90-a219-42de-acba-535a2a96ef0e","HARDIMONT","BLAND RD","WAKE FOREST RD"
"90",8,"77e6ccae-f5b5-47f3-abb3-db53fb7943fe","WAKEFIELD PINES","SCHOOLHOUSE ST","MABRY MILL ST","e0fbc4a2-4d9d-4aed-b234-5c68a94db55d","GORMAN","OCTAVIA ST","AVENT FERRY RD"
"115",9,"14423550-64b6-4342-88f8-492b561f503f","BELLOW","CLARE CT","CALEDONIA ST","04231cc9-dd90-4113-b0ef-09a67fbd39a4","WINTERGREEN","PINE TREE CT","CREPE MYRTLE CT"
"10",10,"44aaa3ef-1879-420f-a79c-30029e174440","ASHBURTON","WICKHAM RD","NEWCASTLE RD","aa6c86ca-c2b8-40c3-8948-3348ea07aad9","OBERLIN","MIDDLE CT","GREENWAY AV"
"80",11,"1f8457d2-591c-4aad-8ec6-6b5e16f86317","LITTLE BRIER CREEK","TW ALEXANDER DR","BRIER CREEK PKWY","69c66814-eaad-482a-b735-a9fb17b097fb","GORMAN","KAPLAN DR","BRENT RD"
"35",13,"024bf1ad-2e1e-411c-8a67-b7647d4fb00b","NORTH HILLS","THAYER DR","SHELLEY RD","8560c46e-7454-4864-ae79-59331f2c7a18","COUNTRY","PINE TIMBER DR","PRIDE WY"
"31",14,"66aa3669-e624-4446-91d3-d9bb72e46ada","MARCOM","COLLEGEVIEW AV","GORMAN ST","fd7dc15b-b399-4cb7-8581-8e96907ce626","BAILEY","CHARLES ST","HADLEY RD"
"37",15,"7ac893fb-afe1-489e-bdef-ac5e1ccf6cd2","ST AUGUSTINE","NEW BERN AVE","BOYER ST","32ae9135-7d0f-4286-be0a-4a90ce4bd264","DAVIE E.","S. STATE ST","TARBORO ST"
"39",17,"b2a76d3f-3f78-4469-8fa8-b6840382cd91","ST AUGUSTINE","E. JONES ST","PENDER ST","18c9a37a-078f-44a7-8c4e-b72db8f6f9cc","FAIRVIEW ACCESS","PRIV PROP #1107","CAPITAL BLVD ACCESS"
"23",19,"74eff3e1-8012-4065-9c64-02a1bf14cfa1","MERRYWOOD","E. MARTIN ST","E. DAVIE ST","12c0e083-82fb-433c-89f1-420022b7f2aa","PURDUE","BAYLOR CT","RADCLIFF RD"
"93",20,"0c697369-7417-4254-a917-cedff5377e7e","WAKEFIELD PINES","KELWAY DR","SARGAS ST","0fd8eaa4-7ba2-42c0-ae45-6c100a44c83c","DUNN","ELEGANCE DR","OAKCROFT DR"
"41",21,"90c6a7db-59a9-4973-ab0c-78e778d67e66","ST AUGUSTINE","E. LANE ST","OAKWOOD AV","1435d248-5b96-4917-abb1-5ddf8365ce35","DAVIE E.","FREEMAN ST","S. STATE ST"
"96",22,"438c2694-6177-4866-a155-9bc011e409c9","ONEAL","PRIDE WY","LEESVILLE HIGH GYM","fd1da4a4-9122-4b05-93ea-f2a945777930","CORPORATE CENTER","CONFERENCE DR","TRINITY RD"
"47",23,"e2f1beb0-f63b-45ef-aeb1-e123bf441a94","BOUNDARY","N. BLOODWORTH ST","N. EAST ST","bbf24017-87cc-47f2-8766-cdecd0ca8a21","DAVIE E.","CHAVIS WY","S. SWAIN ST"
"95",25,"11cadd2c-9eb9-4264-99c8-edf1825c590c","WAKEFIELD PINES","WAKEFIELD SPRING ENT","FALLS OF NEUSE RD","7b14a13a-1958-46b8-8e55-12bd162e1391","HIKING","LOYAL LN","EAGLE TR"
"54",27,"4fd9e761-2cf4-4357-92af-073d8482207b","OAKWOOD","ST AUGUSTINE AV","HILL ST","e01bdeea-0b0a-4bc5-a22a-2d1aff016f0a","DAVIE E.","S. EAST ST","CHAVIS WY"
"103",28,"368b0d36-4130-4fe6-83b8-b1a8ff00337f","CAVALIER","LAWRENCE DR","MARINER CR","ecf5c69a-186a-4637-b98c-11068381b7f3","SPRINGHOUSE","BLAKEHURST DR","CDS"
"5",29,"f2ded442-8ddf-4526-a851-1d5bcb809828","HUNTLEIGH","CAPITAL BLVD","GREYWOOD DR","fffc46bf-fa79-4b49-a1f7-fafc80e524e8","GORMAN","SHERMAN AV","GREENLEAF ST"
"94",30,"84fa401e-e9f0-4a03-ac81-8566a22f2738","WAKEFIELD PINES","SARGAS ST","WAKEFIELD SPRING ENT","2965a71c-12bb-45d8-aaac-39ae69c25850","CUB","DEANWOOD DR","DAHLGREEN RD"
"67",31,"a46ce4d4-c1a0-4f58-b3e0-063ad7eacbc7","FARMINGTON GROVE","HALLBERG LN","SORRILLS CREEK LN","6823a6aa-0223-4667-9b8b-0bfdd12007b3","FIESTA","GALA CT","MADIERA CT"
"34",32,"818fe101-85f2-4719-bb68-9b9fe7be3d27","NORTH HILLS","THAYER DR","THAYER DR","e3238907-ee64-4aa8-9a36-59cf4c3e1c42","GLEN EDEN","LUBBOCK DR","COLEY FOREST PL"
"81",35,"b029c1a7-c09f-4399-a802-9e51d5592396","CRABTREE","BEG PVMT #1021","CHATHAM LN","7b1a6b75-6c94-4a50-83e1-1720ca9cbbff","RAINWATER","BELLECHASSE DR","PVMT CHG #6724"
"108",36,"1b3f7baa-bf41-4515-a25b-fb6d6d711c5a","CHATHAM","BELFAST DR","CRABTREE BV","a421559d-6b42-4578-8e45-3443a87dd80e","KILGORE","BROOKS AV","DIXIE TR"
"43",37,"7d4f0541-f966-4dea-a006-659c78a96652","REAVIS","METHOD RD","CHANEY RD","3a74522b-9d55-4399-882f-cfac3c8567be","DARBY","BOAZ RD","S. STATE ST"
"27",99,"272cb98b-34c6-4a80-a7c9-d42dfe407d99","KIMBERLY","CORONADO DR","RAINTREE CT","0f575eae-d95a-4150-8a41-f60de0dcf76f","COBBLESTONE","CHRISDALE CT","CDS"
