"GlobalID","COR_STREET","COR_BEGIN_","COR_END_DE","ST_TYPE_ST","COR_LENGTH","COR_ST_TYP","COR_WIDTH","DIRECTION_","LANE_COUNT","LEAF_ID","yr_repave","surface","street_id","treat_year","prev_treat","treat_25","pot_treat","pot_comp","sqyd_est","duke_poles","lite_poles","pole_est","sidewalks","any_poles","grid_code","LCZ_filter","LCZ_desc","UHI_Qtile","pct_treec","hw_af_hi_f","hw_af_t_f","hw_am_hi_f","hw_am_t_f","hw_pm_hi_f","hw_pm_t_f","UHI_Qtile2","repave_grp","weights","subclass","randomize","select_loc","GMaps_ID"
"bda77b2b-8be4-4db7-b483-cabf70959117","ELLERBE","BELMONT DR","GLENBROOK DR","Ln",583,10,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,1425.11111111111,"Yes","Yes",4,"No",1,6,"6","Open lowrise",5,0.58024691358,86.3356749737849,84.2823226178279,67.8329790459305,67.2115896256244,83.2352356207175,80.7419501132652,5,"newer",1,"1",109,FALSE,"ELLERBE_BELMONT DR_GLENBROOK DR"
"4a212310-e5e0-4a45-8d4d-beecf146cd80","FIESTA","HARPS MILL RD","GALA CT","Wy",376,22,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,919.111111111111,"No","Yes",1,"Yes",1,11,"A","Dense Trees (LCZ A)",5,0.983050847458,85.9868257103897,82.8789254165277,68.4560913458103,67.7642184001643,81.7387795797208,79.6946747942669,5,"newer",1,"116",82,FALSE,"FIESTA_HARPS MILL RD_GALA CT"
"6823a6aa-0223-4667-9b8b-0bfdd12007b3","FIESTA","GALA CT","MADIERA CT","Wy",1395,22,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,3410,"No","Yes",4,"No",1,6,"6","Open lowrise",2,0.937823834197,86.5791529453162,83.6042952682033,68.6113301479455,67.8919242512096,82.0828879385283,79.8378820708304,2,"newer",1,"67",31,TRUE,"FIESTA_GALA CT_MADIERA CT"
"44c78f0d-8214-424c-878a-a8a0b33a353d","FIESTA","MADIERA CT","BOLERO CR","Wy",481,22,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,1175.77777777778,"No","Yes",1,"No",1,6,"6","Open lowrise",2,0.773333333333,86.6037624065693,84.1120329636794,68.7588188464825,67.989886210515,83.2628223712628,80.7124561896691,2,"newer",1,"68",70,FALSE,"FIESTA_MADIERA CT_BOLERO CR"
"5e1c7072-b90d-4849-9d03-be6c0e48da0f","FOWLER","BROOKS AV","HARRIS ST","Av",292,2,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,713.777777777778,"Yes","Yes",2,"No",1,6,"6","Open lowrise",7,0.977272727273,85.769106315844,84.2927740848426,68.2825426043886,67.7252657341235,82.9399596705581,80.7171573060931,7,"newer",1,"29",57,FALSE,"FOWLER_BROOKS AV_HARRIS ST"
"8c4f4e7d-6032-4df0-b576-d9df238d6988","FOWLER","HARRIS ST","DIXIE TR","Av",684,2,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,1672,"Yes","Yes",4,"No",1,11,"A","Dense Trees (LCZ A)",8,0.990566037736,86.0146806743783,84.0376451519174,68.0140129411724,67.5085679175149,82.045066403671,80.1211616623569,8,"newer",1,"110",102,FALSE,"FOWLER_HARRIS ST_DIXIE TR"
"5f2e80c0-8dfb-47db-8832-06df8414aa47","AIRLINE","RIDGE RD","SANDIA DR","Dr",1060,8,22,0,2,"1A",2022,1,1,NA,0,1,1,0,2591.11111111111,"Yes","Yes",6,"No",1,11,"A","Dense Trees (LCZ A)",5,0.630136986301,85.6363744290075,84.0764830402125,68.2150977304048,67.485982235347,83.510979696969,81.3583608609493,5,"newer",1,"1",109,FALSE,"AIRLINE_RIDGE RD_SANDIA DR"
"7eb56e30-dc2d-4960-bcf0-87d62652bbf8","ASHBURTON","KAPLAN DR","WICKHAM RD","Rd",330,15,26,0,2,"1A",2022,1,4,NA,0,1,1,0,953.333333333333,"Yes","No",2,"No",1,6,"6","Open lowrise",6,0.586206896552,86.5863576889038,84.5462142944336,69.246457862854,68.5572477340698,84.6337007522583,81.5089710235596,6,"newer",1,"3",68,FALSE,"ASHBURTON_KAPLAN DR_WICKHAM RD"
"44aaa3ef-1879-420f-a79c-30029e174440","ASHBURTON","WICKHAM RD","NEWCASTLE RD","Rd",359,15,26,0,2,"1A",2022,1,4,NA,0,1,1,0,1037.11111111111,"Yes","No",3,"No",1,6,"6","Open lowrise",6,0.561403508772,86.6252374649048,84.4669298171997,69.0249921798706,68.3683834075928,84.3114580154419,81.0997488021851,6,"newer",1,"10",10,TRUE,"ASHBURTON_WICKHAM RD_NEWCASTLE RD"
"ac4902b6-ae1e-4533-a8c9-94d0f01f0859","ASHBURTON","NEWCASTLE RD","DUNBAR RD","Rd",566,15,26,0,2,"1A",2022,1,4,NA,0,1,1,0,1635.11111111111,"Yes","No",4,"No",1,6,"6","Open lowrise",6,0.975903614458,86.0655063629151,84.2618939717611,68.5093091328939,67.896950785319,83.8366451263428,80.6874137878418,6,"newer",1,"11",1,TRUE,"ASHBURTON_NEWCASTLE RD_DUNBAR RD"
