"StreetName","Shade","Sidewalk","GMaps_ID","DukePoleID","St2Pole_in","SW_Front","SW_Back","Cross_St","SensDirect","SensorID","StDirect","longitude_","latitude_y","GlobalID","CreationDa","Creator","EditDate","Editor","GlobalID.y","COR_STREET","COR_BEGIN_","COR_END_DE","ST_TYPE_ST","COR_LENGTH","COR_ST_TYP","COR_WIDTH","DIRECTION_","LANE_COUNT","LEAF_ID","yr_repave","surface","street_id","treat_year","prev_treat","treat_25","pot_treat","pot_comp","sqyd_est","duke_poles","lite_poles","pole_est","sidewalks","any_poles","grid_code","LCZ_filter","LCZ_desc","UHI_Qtile","pct_treec","hw_af_hi_f","hw_af_t_f","hw_am_hi_f","hw_am_t_f","hw_pm_hi_f","hw_pm_t_f","UHI_Qtile2","repave_grp","weights","subclass","randomize","select_loc","lon_x","lat_y"
"Pineview St","Yes","No","PINEVIEW_KAPLAN DR_WICKHAM RD","CP&L MX02K","18","N/A","N/A","No","56 NE","2799141","150 SE",-78.71004942,35.77494115,"f3141c22-295e-45d5-aa0b-1ebd76ac4f41",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","cffd2d5a-f53f-408e-9107-6c25e3ad39f7","PINEVIEW","KAPLAN DR","WICKHAM RD","Dr",348,8,26,0,2,"1A",2021,1,NA,NA,0,0,0,1,1005.33333333333,"Yes","Yes",4,"No",1,6,"6","Open lowrise",6,0.965517241379,85.7175010122904,84.1328035680259,68.3820562595274,67.7776993542183,83.5513588509909,80.383710721644,6,"newer",1,11,1,TRUE,-78.7100494159774,35.7749411498951
"Ashburton","Yes","No","ASHBURTON_NEWCASTLE RD_DUNBAR RD","Duke RER75","26","N/A","N/A","No","107 E","2968880","14 N",-78.70483261,35.77483089,"807f9029-62fb-48e2-8607-0a896fe38619",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","ac4902b6-ae1e-4533-a8c9-94d0f01f0859","ASHBURTON","NEWCASTLE RD","DUNBAR RD","Rd",566,15,26,0,2,"1A",2022,1,4,NA,0,1,1,0,1635.11111111111,"Yes","No",4,"No",1,6,"6","Open lowrise",6,0.975903614458,86.0655063629151,84.2618939717611,68.5093091328939,67.896950785319,83.8366451263428,80.6874137878418,6,"newer",1,11,1,TRUE,-78.7048326062717,35.7748308923538
"Ashburton","No","No","ASHBURTON_KAPLAN DR_WICKHAM RD","Duke MW91K","30","N/A","N/A","Yes","108 E","2953645","352 N",-78.70473369,35.77631526,"09b6b0b8-92f6-4bc0-beca-71c5171834a4",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","7eb56e30-dc2d-4960-bcf0-87d62652bbf8","ASHBURTON","KAPLAN DR","WICKHAM RD","Rd",330,15,26,0,2,"1A",2022,1,4,NA,0,1,1,0,953.333333333333,"Yes","No",2,"No",1,6,"6","Open lowrise",6,0.586206896552,86.5863576889038,84.5462142944336,69.246457862854,68.5572477340698,84.6337007522583,81.5089710235596,6,"newer",1,3,68,FALSE,-78.7047336936741,35.7763152552579
"Bailey Street","No","No","BAILEY_CHARLES ST_HADLEY RD","CP&L A966 BJ","51","N/A","N/A","No","348 N","2953663","255 W",-78.6289147,35.75611458,"e0fda8db-9e2e-4054-a364-0b3af993e2d5",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","fd7dc15b-b399-4cb7-8581-8e96907ce626","BAILEY","CHARLES ST","HADLEY RD","Dr",303,8,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,740.666666666667,"Yes","No",2,"No",1,6,"6","Open lowrise",8,0.148148148148,86.9781916850322,84.3506853258288,67.2510596610404,66.6823276829075,83.582650674356,80.7607516726932,8,"newer",1,31,14,TRUE,-78.6289147042064,35.7561145795018
"Darby Street","No","No","DARBY_BATES ST_BOAZ RD","CP&L A712 BJ","17","N/A","N/A","No","350 N","3086531","260 W",-78.62660279,35.75581592,"cd1bf709-9abd-4b17-bea4-b310260d30a7",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","56187daf-5c98-4fcf-b73e-50694ee68a7b","DARBY","BATES ST","BOAZ RD","St",321,18,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,784.666666666667,"Yes","No",2,"No",1,6,"6","Open lowrise",8,0.0980392156863,87.1876948765346,84.5211907523019,67.6668751307896,67.0711759294782,83.9200616019113,81.0307904924665,8,"newer",1,30,5,TRUE,-78.6266027883131,35.7558159162194
"Darby Street","Yes","Yes","DARBY_BOAZ RD_S. STATE ST","CP&L 10J040","234","Yes","No","No","150 SE","3085265","248 N",-78.6246832,35.75626716,"f7f0e87b-66e1-4b67-b1d5-0226c6d3a9de",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","3a74522b-9d55-4399-882f-cfac3c8567be","DARBY","BOAZ RD","S. STATE ST","St",915,18,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,2236.66666666667,"Yes","Yes",4,"Yes",1,6,"6","Open lowrise",8,0.5625,86.3235446266506,83.4657172327456,67.316288077313,66.8102638410485,83.5149789893109,80.7781965836235,8,"newer",1,43,37,TRUE,-78.6246832044336,35.7562671598397
"E Davie Street","No","Yes","DAVIE E._S. STATE ST_TARBORO ST","CP&L RGD95","10","No","Yes","No","0 N","2968896","280 W",-78.62325425,35.77518138,"67f3eab6-23f7-4221-b42b-551665f3e7fa",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","32ae9135-7d0f-4286-be0a-4a90ce4bd264","DAVIE E.","S. STATE ST","TARBORO ST","St",544,18,24,3,2,"1A",2023,1,NA,NA,0,0,0,1,1450.66666666667,"Yes","Yes",7,"Yes",1,6,"6","Open lowrise",10,0.348837209302,87.6483373809279,85.6306596722519,69.246033919485,68.2323738231994,84.3809793037281,81.429906878555,10,"newer",1,37,15,TRUE,-78.6232542471247,35.7751813790639
"E Davie Street","Yes","Yes","DAVIE E._FREEMAN ST_S. STATE ST","CP&L RFX 54","14","No","Yes","No","10 N","2974339","285 W",-78.62444028,35.77523611,"5dbdf24a-133b-4e12-b649-a215c4ba5849",2025-06-19,"kburley_UNC",2025-06-23,"kburley_UNC","1435d248-5b96-4917-abb1-5ddf8365ce35","DAVIE E.","FREEMAN ST","S. STATE ST","St",286,18,24,3,2,"1A",2023,1,NA,NA,0,0,0,1,762.666666666667,"Yes","Yes",5,"Yes",1,6,"6","Open lowrise",10,0.409090909091,87.974448001746,85.6817287098278,69.1811812429717,68.1662967566288,84.2824704719312,81.2179181648023,10,"newer",1,41,21,TRUE,-78.6244402847095,35.775236109676
"E Davie Street","Yes","Yes","DAVIE E._CHAVIS WY_S. SWAIN ST","PEC DZ56BK","23","No","Yes","No","9 N","2974177","276 W",-78.63034452,35.77539347,"146c6425-81f9-40fb-9871-b0c80fb4833b",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","bbf24017-87cc-47f2-8766-cdecd0ca8a21","DAVIE E.","CHAVIS WY","S. SWAIN ST","St",652,18,26,3,2,"1A",2023,1,NA,NA,0,0,0,1,1883.55555555556,"Yes","Yes",7,"Yes",1,6,"6","Open lowrise",10,0.553191489362,87.3502715139678,85.016871250037,69.2293289646958,68.3012204025731,84.2118018179229,81.406579913515,10,"newer",1,47,23,TRUE,-78.6303445203048,35.7753934730035
"E Davie Street","No","Yes","DAVIE E._S. EAST ST_CHAVIS WY","CP&Ll DZ44 BK","15","No","Yes","No","2 N","2974172","280 W",-78.63172653,35.77543667,"f44fb8a5-10f0-4a30-b8fa-629373d66c84",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","e01bdeea-0b0a-4bc5-a22a-2d1aff016f0a","DAVIE E.","S. EAST ST","CHAVIS WY","St",312,18,34,3,2,"1A",2022,1,NA,NA,0,0,0,1,1178.66666666667,"Yes","Yes",3,"Yes",1,6,"6","Open lowrise",10,0.0612244897959,86.6672787385828,84.7517150430118,70.4681075601017,69.5383684494916,84.8090535332175,82.3028822506175,10,"newer",1,54,27,TRUE,-78.631726534352,35.77543667214
