Term,Estimate,CI_2.5,CI_97.5,Var,Weeks
C(time_unit)[T.-11.0],-0.45612840344218974,-1.1145044516824263,0.2022476447980468,Weeks,-11.0
C(time_unit)[T.-10.0],-0.2595072234324888,-0.8781569278787827,0.3591424810138052,Weeks,-10.0
C(time_unit)[T.-9.0],-0.4999831747450001,-1.184236049930329,0.18426970044032898,Weeks,-9.0
C(time_unit)[T.-8.0],-0.5681292303279266,-1.1631529898118549,0.026894529156001767,Weeks,-8.0
C(time_unit)[T.-7.0],-0.040588493769844636,-0.5909583248007929,0.5097813372611036,Weeks,-7.0
C(time_unit)[T.-6.0],0.1742020792205582,-0.3016206736317829,0.6500248320728993,Weeks,-6.0
C(time_unit)[T.-5.0],0.40308469655601237,0.016000778275297056,0.7901686148367277,Weeks,-5.0
C(time_unit)[T.-4.0],-0.15840796018638637,-0.42580356021940624,0.10898763984663351,Weeks,-4.0
C(time_unit)[T.-3.0],0.3715325708032233,0.14485126118588695,0.5982138804205597,Weeks,-3.0
C(time_unit)[T.-2.0],-0.04177278316829991,-0.260067585053779,0.1765220187171792,Weeks,-2.0
C(time_unit)[T.1.0],-0.31874054981533684,-0.46636720307456336,-0.17111389655611028,Weeks,1.0
C(time_unit)[T.2.0],-0.5786913135587385,-0.8192318727880195,-0.33815075432945746,Weeks,2.0
C(time_unit)[T.3.0],-0.3246821601558243,-0.7289571458478008,0.07959282553615227,Weeks,3.0
C(time_unit)[T.4.0],-0.19569100743773726,-0.7370113565742008,0.3456293416987263,Weeks,4.0
treat_25:C(time_unit)[T.-11.0],-0.011192505996228341,-1.0806045900228012,1.0582195780303445,Treatment*Weeks,-11.0
treat_25:C(time_unit)[T.-10.0],-0.019363806623778235,-0.859247947822784,0.8205203345752276,Treatment*Weeks,-10.0
treat_25:C(time_unit)[T.-9.0],0.09951803895053085,-0.8768213801816889,1.0758574580827507,Treatment*Weeks,-9.0
treat_25:C(time_unit)[T.-8.0],0.049673560335641964,-0.6930729667479187,0.7924200874192027,Treatment*Weeks,-8.0
treat_25:C(time_unit)[T.-7.0],0.03893848289927104,-0.6334418873165371,0.7113188531150791,Treatment*Weeks,-7.0
treat_25:C(time_unit)[T.-6.0],-0.09734732623343945,-0.5856202123175954,0.39092555985071653,Treatment*Weeks,-6.0
treat_25:C(time_unit)[T.-5.0],-0.014192976856726491,-0.40623608316027154,0.37785012944681856,Treatment*Weeks,-5.0
treat_25:C(time_unit)[T.-4.0],0.056878780198637346,-0.29670003996929595,0.41045760036657064,Treatment*Weeks,-4.0
treat_25:C(time_unit)[T.-3.0],-0.02419864579100095,-0.2788808960568868,0.23048360447488492,Treatment*Weeks,-3.0
treat_25:C(time_unit)[T.-2.0],-0.07165341622963384,-0.36269757295235544,0.21939074049308777,Treatment*Weeks,-2.0
treat_25:C(time_unit)[T.1.0],0.17562431652507549,-0.0424376495904327,0.3936862826405837,Treatment*Weeks,1.0
treat_25:C(time_unit)[T.2.0],-0.03774627235157979,-0.4589056346060752,0.3834130899029156,Treatment*Weeks,2.0
treat_25:C(time_unit)[T.3.0],0.12149792060773701,-0.31703248177024235,0.5600283229857164,Treatment*Weeks,3.0
treat_25:C(time_unit)[T.4.0],0.03525229795224294,-0.585113326205315,0.6556179221098009,Treatment*Weeks,4.0
