Term,Estimate,CI_2.5,CI_97.5,Var,Weeks
C(time_unit_fct)[T.-11.0],-0.4419372350520944,-1.0748361276878993,0.19096165758371048,Weeks,-11.0
C(time_unit_fct)[T.-10.0],-0.19412114517923196,-0.7998114752382006,0.4115691848797367,Weeks,-10.0
C(time_unit_fct)[T.-9.0],-0.4851903414347668,-1.1398526827529798,0.1694719998834462,Weeks,-9.0
C(time_unit_fct)[T.-8.0],-0.4970933274267304,-1.08047459178662,0.08628793693315928,Weeks,-8.0
C(time_unit_fct)[T.-7.0],-0.04566411032886286,-0.5663156475672506,0.4749874269095249,Weeks,-7.0
C(time_unit_fct)[T.-6.0],0.23349900696102632,-0.22290826511476253,0.6899062790368151,Weeks,-6.0
C(time_unit_fct)[T.-5.0],0.4141882252297816,0.05700097492277345,0.7713754755367898,Weeks,-5.0
C(time_unit_fct)[T.-4.0],-0.09182744776362495,-0.348260194040933,0.1646052985136831,Weeks,-4.0
C(time_unit_fct)[T.-3.0],0.4009587589200854,0.1714085361426768,0.630508981697494,Weeks,-3.0
C(time_unit_fct)[T.-2.0],0.013392770746829985,-0.2033755632560291,0.23016110474968907,Weeks,-2.0
C(time_unit_fct)[T.1.0],-0.31453595194719686,-0.45393990245219296,-0.17513200144220079,Weeks,1.0
C(time_unit_fct)[T.2.0],-0.5687285769152095,-0.8364833326099584,-0.30097382122046057,Weeks,2.0
C(time_unit_fct)[T.3.0],-0.2879370496655307,-0.7268198946591968,0.1509457953281354,Weeks,3.0
C(time_unit_fct)[T.4.0],-0.16124797451226236,-0.7537743102797804,0.43127836125525565,Weeks,4.0
treat_25:C(time_unit_fct)[T.-11.0],-0.012434605261100518,-1.0624800936158048,1.0376108830936035,Treatment*Weeks,-11.0
treat_25:C(time_unit_fct)[T.-10.0],-0.019339845102548603,-0.8535183463433782,0.814838656138281,Treatment*Weeks,-10.0
treat_25:C(time_unit_fct)[T.-9.0],0.09978668255129092,-0.8432058228741737,1.0427791879767556,Treatment*Weeks,-9.0
treat_25:C(time_unit_fct)[T.-8.0],0.033412341625915554,-0.6956547842892042,0.7624794675410353,Treatment*Weeks,-8.0
treat_25:C(time_unit_fct)[T.-7.0],0.03586462163026655,-0.5974931371070706,0.6692223803676036,Treatment*Weeks,-7.0
treat_25:C(time_unit_fct)[T.-6.0],-0.09676310349991435,-0.5755237162684956,0.38199750926866693,Treatment*Weeks,-6.0
treat_25:C(time_unit_fct)[T.-5.0],-0.014157283394036962,-0.38901273820519766,0.3606981714171238,Treatment*Weeks,-5.0
treat_25:C(time_unit_fct)[T.-4.0],0.034913094645500964,-0.32882621658204686,0.3986524058730488,Treatment*Weeks,-4.0
treat_25:C(time_unit_fct)[T.-3.0],-0.02416295232847543,-0.28946448014704523,0.24113857549009438,Treatment*Weeks,-3.0
treat_25:C(time_unit_fct)[T.-2.0],-0.07185909963723813,-0.36266869721408973,0.21895049793961346,Treatment*Weeks,-2.0
treat_25:C(time_unit_fct)[T.1.0],0.18918493822719806,-0.04824117192135535,0.4266110483757515,Treatment*Weeks,1.0
treat_25:C(time_unit_fct)[T.2.0],-0.040312604315091316,-0.4836495823260726,0.40302437369588995,Treatment*Weeks,2.0
treat_25:C(time_unit_fct)[T.3.0],0.13268626605782163,-0.36741492044840285,0.6327874525640461,Treatment*Weeks,3.0
treat_25:C(time_unit_fct)[T.4.0],0.035095019192186605,-0.677068431276497,0.7472584696608702,Treatment*Weeks,4.0
