OID_,Join_Count,TARGET_FID,GlobalID,COR_STREET,COR_BEGIN_,COR_END_DE,ST_TYPE_ST,COR_LENGTH,COR_ST_TYP,COR_WIDTH,DIRECTION_,LANE_COUNT,LEAF_ID,yr_repave,surface,street_id,duke_poles,lite_poles,sidewalks,any_poles,treat_year,prev_treat,treat_25,potential,sqyd_est,BUFF_DIST,ORIG_FID,pointid,grid_code,Shape_Length,Shape_Area
1,1,1,b02e9da6-947e-4c44-a4ab-8dec79f811ed,CANOE,HALFHITCH TR,CDS,Ct,257.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2015.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,628.222222222222285,35.000000000000000,0,33010,6,0.003576286545695,0.000000907975789
2,1,2,66aaa5d6-d793-48a8-ae8c-de02f005af7a,COOPER,LITTLE JOHN RD,PARK PROP,Rd,207.000000000000000,15.000000000000000,30.000000000000000,0.000000000000000,2.000000000000000,1A,2003.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,690.000000000000000,35.000000000000000,1,90739,6,0.003334675093938,0.000000815898965
3,1,3,885db353-fdce-4333-b873-681d80525afd,DRAYTON,SALEM WOODS DR,CDS,Ct,88.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,215.111111111111086,35.000000000000000,2,36100,6,0.002656444547374,0.000000550860759
4,1,4,d066fade-51bb-40b9-a2dc-39dd7da6886d,COPLEY,MEMORY LN,BUTLER BV,Dr,442.000000000000000,8.000000000000000,20.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,982.222222222222285,35.000000000000000,3,63845,6,0.004645603750946,0.000001325299581
5,1,5,78abf309-815d-45af-8a06-36c1f6244a3b,DRESDEN,CDS,VALLEY ESTATES DR,Ln,511.000000000000000,10.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,1990.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1476.222222222222172,35.000000000000000,4,46574,11,0.004783616587666,0.000001373399306
6,1,6,3641df1a-269d-4070-9e9f-37d6aeaab99c,COPPER MINE,MINE VALLEY RD,CDS,Ln,201.000000000000000,10.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,1995.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,491.333333333333314,35.000000000000000,5,39572,6,0.003286697500724,0.000000797504090
7,1,7,a9f06b37-686b-4682-806c-85af55fc7f7e,DRESDEN,VALLEY ESTATES DR,AVALON CT,Ln,743.000000000000000,10.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,2007.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,2146.444444444444343,35.000000000000000,6,46184,11,0.006327654417172,0.000001968143755
8,1,8,fba6bd8c-eed0-4c3a-9aea-742499050843,COPPERSMITH,CROWN OAKS DR,CDS,Ct,333.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2009.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,814.000000000000000,35.000000000000000,7,37247,6,0.004072148118505,0.000001090049187
9,1,9,c25d1eba-39ec-4a43-b33c-31fa7a768309,DRESDEN,AVALON CT,WARWOOD CT,Ln,372.000000000000000,10.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,2008.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1074.666666666666515,35.000000000000000,8,45404,11,0.004237025481649,0.000001166389469
10,1,10,be5bd4c4-4038-45d1-afba-85ce289fc160,DRESDEN,WARWOOD CT,RICHWOOD CT,Ln,368.000000000000000,10.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,2008.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1063.111111111111086,35.000000000000000,9,45013,6,0.004363039844615,0.000001187371357
