OBJECTID_1,Active,Street Surface ,COMMENT_STR,COR_BEGIN_DESC,Block Number,COR_COUNCIL_ID,COR_CURB_NUM_ID,COR_EDITNOTE,COR_END_DESC,Leaf Zone,Length(ft),MSD,COR_STREET_NAME,COR_ST_TYPE_ID,COR_SW_NUM_ID,COR_WAKE_ID,Width,County ID,DATE_UPDATE,DIRECTION_ID,EFF_YEAR,Functional Class,Lane Count,PMS_SECTION_ID,USER_UPDATE,COMMENT_ID,GIS ID,LAST_YEAR_CONSTR,Owner,TEMPO_BIRTH_DATE,TEMPO_EFF_BIRTH_DATE,TEMPO_EFF_DEATH_DATE,TKG_PROJ_GROUP_ID,COR_LAST_TRT_COMPL_DATE,COR_INVENTORY_DATE,COR_STREET_GROUP_NUM,AARB_ROADNO,LAST_YEAR_MAINT,LAST_YEAR_PRES,LAST_YEAR_RESURFACING,SE_ANNO_CAD_DATA,GLOBALID_1,COR_FACILITY_ID,COR_ACTIVE_CAT_ID,COR_MSD_ID,GlobalID,OBJECTID,PMS_SECTION_ID,Shape__Length,Leaf ID,ST_TYPE_STRING
1,1,1,,HALFHITCH TR,8600,2,2, ,CDS,0,257,0,CANOE,6,0,31145,22,105,2/26/2020 12:00:00 AM,,,7,2,807,BRIAN,,807,0,1317,3/25/2022 12:00:00 AM,,,1114,,,0,CANOECT,0,0,2015,System.Byte[],{2373a44a-70c9-44f5-ac9b-93cb0cfaa3f2},16831,1,0,b02e9da6-947e-4c44-a4ab-8dec79f811ed,3029,807,0.000681735270934445,1A,Ct
2,1,1,,LITTLE JOHN RD,1000,3,2, ,PARK PROP,0,207,0,COOPER,15,0,15450,30,105,2/26/2020 12:00:00 AM,,,7,2,1210,BRIAN,,1210,0,1317,3/25/2022 12:00:00 AM,,,1436,,,0,COOPERRD,0,0,2003,System.Byte[],{ec23c742-175a-4acd-a5ff-917811b25862},19057,1,0,66aaa5d6-d793-48a8-ae8c-de02f005af7a,3345,1210,0.000561679159224183,1A,Rd
3,1,1,,SALEM WOODS DR,7524,1,2, ,CDS,0,88,0,DRAYTON,6,0,24900,22,105,2/26/2020 12:00:00 AM,,,7,2,1619,BRIAN,,1619,0,1317,3/25/2022 12:00:00 AM,,,1731,,,0,DRAYTONCT,0,0,0,System.Byte[],{88f4e6fa-e3de-425c-9907-36ce958a696b},19165,1,0,885db353-fdce-4333-b873-681d80525afd,2883,1619,0.000221567650152294,1A,Ct
4,1,1,,MEMORY LN,3200,3,0, ,BUTLER BV,0,442,0,COPLEY,8,0,35661,20,105,2/26/2020 12:00:00 AM,,,7,2,1211,BRIAN,,1211,1992,1317,3/25/2022 12:00:00 AM,,,1439,,1/1/1992 12:00:00 AM,0,COPLEYDR,0,0,0,System.Byte[],{e2bc28f6-3e8d-4d61-94f0-9ae2dcf3c6d8},9443,1,0,d066fade-51bb-40b9-a2dc-39dd7da6886d,773,1211,0.00121660825028694,1A,Dr
5,1,1,,CDS,6100,1,2, ,VALLEY ESTATES DR,0,511,0,DRESDEN,10,0,34343,26,105,2/26/2020 12:00:00 AM,,,7,2,1620,BRIAN,,1620,0,1317,3/25/2022 12:00:00 AM,,,1733,,,0,DRESDENLN,0,0,1990,System.Byte[],{339ed030-cbf4-4e6b-a3b7-ca4b1f448384},1487,1,0,78abf309-815d-45af-8a06-36c1f6244a3b,11284,1620,0.00128534436324819,1A,Ln
6,1,1,,MINE VALLEY RD,3100,1,2, ,CDS,0,201,0,COPPER MINE,10,0,44423,22,105,2/26/2020 12:00:00 AM,,,7,2,1212,BRIAN,,1212,0,1317,3/25/2022 12:00:00 AM,,,1440,,,0,COPPERMINELN,0,0,1995,System.Byte[],{ef7de452-c447-4a47-a353-d0f79bfa45fb},12547,1,0,3641df1a-269d-4070-9e9f-37d6aeaab99c,774,1212,0.000536708526733431,1A,Ln
7,1,1,,VALLEY ESTATES DR,6200,1,2, ,AVALON CT,0,743,0,DRESDEN,10,1,34337,26,105,2/26/2020 12:00:00 AM,,,7,2,1621,BRIAN,,1621,0,1317,3/25/2022 12:00:00 AM,,,1733,,,0,DRESDENLN,0,0,2007,System.Byte[],{6c8185da-b32d-4db2-8bab-d3f0b4ae6b41},9350,1,0,a9f06b37-686b-4682-806c-85af55fc7f7e,10899,1621,0.00205745875043875,1A,Ln
8,1,1,,CROWN OAKS DR,7600,1,2, ,CDS,0,333,0,COPPERSMITH,6,0,30070,22,105,2/26/2020 12:00:00 AM,,,7,2,1213,BRIAN,,1213,0,1317,3/25/2022 12:00:00 AM,,,1441,,,0,COPPERSMITHCT,0,0,2009,System.Byte[],{35d5e9f4-eecb-4ac7-b4a0-797f45a360b9},19373,1,0,fba6bd8c-eed0-4c3a-9aea-742499050843,3346,1213,0.000929623744616954,1A,Ct
9,1,1,,AVALON CT,6300,1,2, ,WARWOOD CT,0,372,0,DRESDEN,10,1,38034,26,105,2/26/2020 12:00:00 AM,,,7,2,1622,BRIAN,,1622,0,1317,3/25/2022 12:00:00 AM,,,1733,,,0,DRESDENLN,0,0,2008,System.Byte[],{32d0d9e1-4d3a-4f7c-9783-1e7bb557d66b},1866,1,0,c25d1eba-39ec-4a43-b33c-31fa7a768309,700,1622,0.00101202320318529,1A,Ln
10,1,1,,WARWOOD CT,6310,1,2, ,RICHWOOD CT,0,368,0,DRESDEN,10,1,38025,26,105,2/26/2020 12:00:00 AM,,,7,2,1623,BRIAN,,1623,0,1317,3/25/2022 12:00:00 AM,,,1733,,,0,DRESDENLN,0,0,2008,System.Byte[],{84731153-bf73-4011-89d5-3a637aa4d517},9747,1,0,be5bd4c4-4038-45d1-afba-85ce289fc160,10224,1623,0.00107501791870231,1A,Ln
