street_name,from,to,treatment,verified_sy,resurfaced_year,square_yards,street_id,street_name_merge,COR_BEGIN_,COR_END_DE,utility_poles,light_poles,sidewalks,notes
AIRLINE DR,SANDIA DR,RIDGE RD,ARA-Ti,2630,2022,2630,1,AIRLINE DR,SANDIA DR,RIDGE RD,Yes,Yes,No,
ARBOR GRANDE WY,SANDY FORKS RD,MOUNTAIN BROOK LN,ARA-Ti,3300,2019,3300,2,ARBOR GRANDE WY,SANDY FORKS RD,MOUNTAIN BROOK LN,No,Yes,Yes,
ARROW DR,GLENWOOD AVE,SUMMIT PARK LN,ARA-Ti,2571,2022,2571,3,ARROW DR,GLENWOOD AVE,SUMMIT PARK LN,Yes,Yes,Yes,
ASHBURTON RD,KAPLAN DR,LILES RD,ARA-Ti,5396,2022,5396,4,ASHBURTON RD,KAPLAN DR,LILES RD,Yes,No,No,
BATTERY DR,POOLE RD,E DAVIE ST,ARA-Ti,6270,2022,6270,5,BATTERY DR,POOLE RD,E DAVIE ST,Yes,Yes,No,
BELGREEN CT,CHATFORD DR,CDS,ARA-Ti,850,2022,850,6,BELGREEN CT,CHATFORD DR,CDS,No,Yes,No,
BELLOW ST,CDS,NORTHCLIFT DR,ARA-Ti,3882,2022,3882,7,BELLOW ST,CDS,NORTHCLIFT DR,No,Yes,Yes,
BUCK SPRING CT,HORIZON HIKE CT,CDS,ARA-Ti,623,2019,623,8,BUCK SPRING CT,HORIZON HIKE CT,CDS,No,No,No,
CALEDONIA ST,NORTHCLIFT DR,BELLOW ST,ARA-Ti,1969,2022,1969,9,CALEDONIA ST,NORTHCLIFT DR,BELLOW ST,No,Yes,Yes,intersects with Northclift in two places - use shorter segment if any
CASSIMIR CT,FARLOW GAP LN,CDS,ARA-Ti,713,2019,713,10,CASSIMIR CT,FARLOW GAP LN,CDS,No,No,No,
CATARA DR,FALLS RIVER AV,COKESBURY LN,ARA-Ti,979,2019,979,11,CATARA DR,FALLS RIVER AV,COKESBURY LN,No,Yes,Yes,
CAVALIER ST,MARINER CIR,LAWRENCE DR,ARA-Ti,1200,2022,1200,12,CAVALIER ST,MARINER CIR,LAWRENCE DR,No,Yes,No,
CHATFORD DR,LEESVILLE RD,CDS,ARA-Ti,4700,2022,4700,13,CHATFORD DR,LEESVILLE RD,CDS,No,Yes,Yes,
CHATHAM LN,MILBURNIE RD,CRABTREE BLVD,ARA-Ti,9811,2022,9811,14,CHATHAM LN,MILBURNIE RD,CRABTREE BLVD,Yes,No,No,
CRABTREE BLVD,CDS,BEG PVMT #1021,ARA-Ti,5545,2022,5545,15,CRABTREE BV,CDS,BEG PVMT #1021,Yes,No,No,disjointed - we only want one segment near lockwood park
ERINRIDGE RD,ROCKY STREAM LN,MAYRIDGE LN,ARA-Ti,2890,2019,2890,16,ERINRIDGE RD,ROCKY STREAM LN,MAYRIDGE LN,No,Yes,Yes,
FAIRBURN CT,PONY RUN RD,CDS,ARA-Ti,745,2022,745,17,FAIRBURN CT,PONY RUN RD,CDS,No,No,No,
FARLOW GAP LN,HORIZON HIKE CT,CDS,ARA-Ti,3340,2019,3340,18,FARLOW GAP LN,HORIZON HIKE CT,CDS,No,Yes,Yes,
FARMINGTON GROVE DR,FALLS RIVER AV,OAKBORO DR,ARA-Ti,8252,2022,8252,19,FARMINGTON GROVE DR,FALLS RIVER AV,OAKBORO DR,No,Yes,Yes,"based on length, must be the whole street"
FILIGREE CT,FALLS RIVER AV,CDS,ARA-Ti,1588,2019,1588,20,FILIGREE CT,FALLS RIVER AV,CDS,No,Yes,Yes,
FIRESTONE LN,EAGLE TRACE DR,FOREST HIGHLAND DR,ARA-Ti,480,2022,480,21,FIRESTONE LN,EAGLE TRACE DR,FOREST HIGHLAND DR,No,No,No,
FOREST HIGHLAND DR L,LAUREL VALLEY WAY,LAUREL VALLEY WAY,ARA-Ti,5900,2022,5900,22,FOREST HIGHLAND DR,LAUREL VALLEY WAY,LAUREL VALLEY WAY,No,Yes,No,
