time,lon,lat,toa_sw_clr_daily,toa_lw_clr_daily,toa_net_clr_daily,toa_alb_clr_daily,toa_solar_clr_daily,toa_sw_all_daily,toa_lw_all_daily,toa_net_all_daily,toa_alb_all_daily,toa_solar_all_daily,sfc_sw_down_clr_daily,sfc_lw_down_clr_daily,sfc_net_sw_clr_daily,sfc_net_lw_clr_daily,sfc_sw_down_all_daily,sfc_lw_down_all_daily,sfc_net_sw_all_daily,sfc_net_lw_all_daily,cldarea_low_daily,cldpress_low_daily,cldtemp_low_daily,cldhght_low_daily,cldpress_top_low_daily,cldpress_base_low_daily,lwp_low_daily,iwp_low_daily,cldarea_mid-low_daily,cldpress_mid-low_daily,cldtemp_mid-low_daily,cldhght_mid-low_daily,cldpress_top_mid-low_daily,cldpress_base_mid-low_daily,lwp_mid-low_daily,iwp_mid-low_daily,cldarea_mid-high_daily,cldpress_mid-high_daily,cldtemp_mid-high_daily,cldhght_mid-high_daily,cldpress_top_mid-high_daily,cldpress_base_mid-high_daily,lwp_mid-high_daily,iwp_mid-high_daily,cldarea_high_daily,cldpress_high_daily,cldtemp_high_daily,cldhght_high_daily,cldpress_top_high_daily,cldpress_base_high_daily,lwp_high_daily,iwp_high_daily
2025-07-01,281.5,35.5,,283.37842,,,,113.76263,270.93994,94.19641,0.23755036,478.899,,407.0055,,-62.99292,283.95224,419.68958,243.11095,-50.30881,21.521475,853.99976,292.92902,1.5751495,852.69586,918.05133,45.396538,,0.87993,564.0981,269.25943,5.2967033,563.0423,594.11017,27.286188,,0.6421636,464.89615,258.9387,6.959982,463.76715,479.90314,6.629214,,21.091572,176.83243,215.01341,13.637045,163.41763,280.91232,,499.94034
2025-07-01,281.5,36.5,,,,,,128.5251,263.17203,87.618866,0.26814273,479.316,,,,,264.17813,427.92087,227.02116,-40.556118,26.139542,811.0893,290.16284,2.000572,810.3466,878.31714,70.32095,2.3638105,2.9173715,598.9122,273.6704,4.6364765,598.5137,665.98096,199.27718,,4.705914,354.80408,247.70247,8.6132,306.7425,491.12946,3.169079,198.37996,21.634447,212.99217,222.37488,12.264902,183.93312,304.32162,,160.79137
2025-07-02,281.5,35.5,,,,,,321.40048,183.4778,-26.35231,0.6716469,478.52597,,,,,25.217588,421.95724,21.322733,-23.20877,10.647034,,,,,,,,3.5387623,594.12463,273.98898,4.5197515,592.2103,636.17804,41.316963,,0.31968984,425.54266,257.7164,7.176267,411.3214,438.04825,22.166319,,75.654274,204.90355,221.0671,12.405913,167.5156,404.47964,33.56948,897.2073
2025-07-02,281.5,36.5,,,,,,247.97736,191.59438,39.356125,0.517776,478.92786,,,,,115.51452,420.80466,98.41449,-25.489634,11.116868,,,,,,,,7.6038513,591.2539,273.24158,4.5569673,589.4312,647.9691,113.38942,,15.092021,367.22488,249.89267,8.307781,315.04022,504.93744,8.362464,149.95453,57.108246,235.3669,227.31323,11.346362,187.59172,440.09164,89.85085,570.7079
2025-07-03,281.5,35.5,,,,,,93.58811,284.7391,99.79654,0.19574036,478.12375,,,,,312.02393,402.1952,267.5798,-60.640575,25.064377,877.54205,292.2318,1.3630347,876.23987,932.5212,23.638199,1.7778099,3.1494513,,,,,,,,0.00072404,,,,,,,,9.989715,212.23051,224.44705,12.39946,180.2005,220.7345,,20.533209
2025-07-03,281.5,36.5,,,,,,103.757805,285.8053,88.94614,0.21683553,478.50925,,,,,300.58542,394.32642,258.91702,-62.30238,25.651993,820.8519,288.40613,1.8854365,819.2568,867.5509,37.82415,7.252999,9.519463,662.26666,277.86832,3.7187598,661.199,714.8728,84.32896,5.217456,0.099846475,351.08664,247.67259,8.7132845,318.48944,441.6322,1.4901898,79.12538,0.25512865,240.175,227.99103,10.947126,212.6989,336.41782,,353.5559
2025-07-04,281.5,35.5,,,,,,86.94861,281.5238,109.219635,0.18201812,477.69205,,,,,318.13446,383.19897,272.79416,-79.4125,1.2262497,777.8109,285.5218,2.5214252,776.8166,813.528,22.796549,,7.237835,593.9646,271.35492,4.79424,591.72687,615.48895,21.70478,,4.569015,359.97495,246.09908,8.6294,312.91556,389.50827,4.5024805,32.59452,16.816534,229.55064,226.39677,11.735789,196.65271,243.50906,,17.026316
2025-07-04,281.5,36.5,76.39101,301.32242,100.34628,0.15979385,478.05972,76.24236,295.05524,106.762146,0.15948291,478.05975,329.46756,368.973,283.44983,-88.68445,326.2918,370.49072,281.00433,-87.166626,2.6920025,788.5234,287.13425,2.2683423,787.5686,827.99164,19.330093,7.9183707,0.0560924,575.4108,269.64398,5.560952,574.468,593.44965,11.902819,2.5376523,0.19203715,415.34988,251.31032,7.671497,414.92477,427.07452,6.2377987,3.1260157,2.509382,226.98416,225.29979,11.77926,218.564,232.43185,6.500492,3.7524107
2025-07-05,281.5,35.5,,289.4491,,,,110.52599,268.35596,98.34863,0.23159872,477.2306,,377.41537,,-80.10836,292.93167,391.13687,250.85077,-66.38686,2.950414,767.0574,284.79044,2.5684872,765.9953,814.112,46.776794,,30.584326,605.77985,273.85855,4.5396047,604.39813,636.3388,43.538074,,3.8309486,393.70026,252.15489,8.014341,371.29242,438.71838,58.974937,35.388107,15.114166,230.89862,226.19672,11.771572,208.1224,257.96548,21.2489,18.009953
2025-07-05,281.5,36.5,,,,,,83.478676,290.75824,103.342255,0.17479548,477.57916,,,,,326.27512,366.97287,281.10568,-86.9383,4.8284473,795.2168,286.81876,2.2231443,794.3875,837.7293,21.816973,3.539816,7.194403,574.6832,271.38116,4.9803677,573.36237,594.9091,14.304858,3.4681852,3.1685429,452.6088,259.59985,6.9023557,439.38123,484.2012,11.721519,11.610319,6.1549544,198.4634,219.89479,12.664316,196.05997,202.01898,,1.6027063
